system,depth,num_bins_feature_encoding,eval_pred,classes_used,accuracy,num_features
gcc,2,5,0.316365708495405,5,0.16666666666666666,25
gcc,3,5,0.316365708495405,5,0.16666666666666666,25
gcc,4,5,0.316365708495405,5,0.16666666666666666,25
gcc,5,5,0.316365708495405,5,0.16666666666666666,25
gcc,7,5,0.316365708495405,5,0.16666666666666666,25
gcc,10,5,0.316365708495405,5,0.16666666666666666,25
gcc,2,8,0.3184383236785797,5,0.16666666666666666,40
gcc,3,8,0.3184383236785797,5,0.16666666666666666,40
gcc,4,8,0.3184383236785797,5,0.16666666666666666,40
gcc,5,8,0.3184383236785797,5,0.16666666666666666,40
gcc,7,8,0.3184383236785797,5,0.16666666666666666,40
gcc,10,8,0.3132806616950114,5,0.16666666666666666,40
gcc,2,10,0.43534425134146476,5,0.16666666666666666,50
gcc,3,10,0.41653870356990597,5,0.16666666666666666,50
gcc,4,10,0.41653870356990597,5,0.16666666666666666,50
gcc,5,10,0.41653870356990597,5,0.16666666666666666,50
gcc,7,10,0.41138104158633765,5,0.16666666666666666,50
gcc,10,10,0.3578491786205129,5,0.0,50
gcc,2,12,0.33304281802056585,5,0.16666666666666666,60
gcc,3,12,0.33304281802056585,5,0.16666666666666666,60
gcc,4,12,0.33304281802056585,5,0.16666666666666666,60
gcc,5,12,0.35402717612965234,5,0.16666666666666666,60
gcc,7,12,0.38529188755152494,5,0.16666666666666666,60
gcc,10,12,0.3278851560369975,5,0.16666666666666666,60
gcc,2,15,0.35402717612965234,5,0.16666666666666666,75
gcc,3,15,0.33304281802056585,5,0.16666666666666666,75
gcc,4,15,0.35402717612965234,5,0.16666666666666666,75
gcc,5,15,0.35402717612965234,5,0.16666666666666666,75
gcc,7,15,0.33304281802056585,5,0.16666666666666666,75
gcc,10,15,0.348869514146084,5,0.16666666666666666,75
gcc,2,20,0.33304281802056585,5,0.16666666666666666,100
gcc,3,20,0.38529188755152494,5,0.16666666666666666,100
gcc,4,20,0.38529188755152494,5,0.16666666666666666,100
gcc,5,20,0.38529188755152494,5,0.16666666666666666,100
gcc,7,20,0.38013422556795656,5,0.16666666666666666,100
gcc,10,20,0.38013422556795656,5,0.16666666666666666,100
imagemagick,2,5,0.8769384614567716,5,0.625,95
imagemagick,3,5,0.8769384614567716,5,0.625,95
imagemagick,4,5,0.8769384614567716,5,0.625,95
imagemagick,5,5,0.8723356044972238,5,0.61,95
imagemagick,7,5,0.8496619869457095,5,0.625,95
imagemagick,10,5,0.8432280072119869,5,0.595,95
imagemagick,2,8,0.8769384614567716,5,0.625,113
imagemagick,3,8,0.8769384614567716,5,0.625,113
imagemagick,4,8,0.899194846070742,5,0.63,113
imagemagick,5,8,0.8932882112132765,5,0.625,113
imagemagick,7,8,0.8625070978854856,5,0.64,113
imagemagick,10,8,0.8505364168540729,5,0.62,113
imagemagick,2,10,0.9090703643555287,5,0.64,125
imagemagick,3,10,0.9007426158333718,5,0.645,125
imagemagick,4,10,0.893896767225882,5,0.635,125
imagemagick,5,10,0.8095252315160539,5,0.635,125
imagemagick,7,10,0.8167635894477996,5,0.63,125
imagemagick,10,10,0.8040410171821379,5,0.615,125
imagemagick,2,12,0.812636382009386,5,0.65,137
imagemagick,3,12,0.8151504164106516,5,0.645,137
imagemagick,4,12,0.8139420479031645,5,0.64,137
imagemagick,5,12,0.8233315417117598,5,0.655,137
imagemagick,7,12,0.7931530727908551,5,0.635,137
imagemagick,10,12,0.7939479058338108,5,0.605,137
imagemagick,2,15,0.9090703643555287,5,0.64,155
imagemagick,3,15,0.8932234830797898,5,0.62,155
imagemagick,4,15,0.8144406379170924,5,0.64,155
imagemagick,5,15,0.8173708319537095,5,0.64,155
imagemagick,7,15,0.8103565032509497,5,0.635,155
imagemagick,10,15,0.7890576442137331,5,0.58,155
imagemagick,2,20,0.8446050405682436,5,0.655,185
imagemagick,3,20,0.8414648209217888,5,0.655,185
imagemagick,4,20,0.8915900149580682,5,0.64,185
imagemagick,5,20,0.8519695008768875,5,0.645,185
imagemagick,7,20,0.8379624240569605,5,0.64,185
imagemagick,10,20,0.8340460863870506,5,0.62,185
lingeling,2,5,0.6333359382109813,5,0.3404255319148936,20
lingeling,3,5,0.6333359382109813,5,0.3404255319148936,20
lingeling,4,5,0.6103471382084609,5,0.3829787234042553,20
lingeling,5,5,0.6103471382084609,5,0.3829787234042553,20
lingeling,7,5,0.6209854360808013,5,0.40425531914893614,20
lingeling,10,5,0.6209854360808013,5,0.3829787234042553,20
lingeling,2,8,0.5949398437998988,5,0.2765957446808511,32
lingeling,3,8,0.5949398437998988,5,0.2765957446808511,32
lingeling,4,8,0.5949398437998988,5,0.2765957446808511,32
lingeling,5,8,0.5949398437998988,5,0.2765957446808511,32
lingeling,7,8,0.5949398437998988,5,0.2765957446808511,32
lingeling,10,8,0.5949398437998988,5,0.2765957446808511,32
lingeling,2,10,0.6420318199750027,5,0.3191489361702128,40
lingeling,3,10,0.5989106334953221,5,0.3617021276595745,40
lingeling,4,10,0.6073577700498469,5,0.3617021276595745,40
lingeling,5,10,0.6310238650230229,5,0.2765957446808511,40
lingeling,7,10,0.636331333551218,5,0.2978723404255319,40
lingeling,10,10,0.6133425335486976,5,0.3404255319148936,40
lingeling,2,12,0.6000775054727675,5,0.3191489361702128,48
lingeling,3,12,0.6000775054727675,5,0.3191489361702128,48
lingeling,4,12,0.6097588576035933,5,0.3404255319148936,48
lingeling,5,12,0.6097588576035933,5,0.3404255319148936,48
lingeling,7,12,0.639405089771413,5,0.3191489361702128,48
lingeling,10,12,0.6097588576035933,5,0.3191489361702128,48
lingeling,2,15,0.6092077989133132,5,0.3404255319148936,60
lingeling,3,15,0.6092077989133132,5,0.3404255319148936,60
lingeling,4,15,0.6000600488020879,5,0.2978723404255319,60
lingeling,5,15,0.6000600488020879,5,0.2978723404255319,60
lingeling,7,15,0.6000600488020879,5,0.2978723404255319,60
lingeling,10,15,0.5806474397186234,5,0.3191489361702128,60
lingeling,2,20,0.6000775054727675,5,0.3191489361702128,80
lingeling,3,20,0.6000775054727675,5,0.3191489361702128,80
lingeling,4,20,0.6000775054727675,5,0.3191489361702128,80
lingeling,5,20,0.6000775054727675,5,0.3191489361702128,80
lingeling,7,20,0.6223462083024739,5,0.2978723404255319,80
lingeling,10,20,0.5924316849778458,5,0.3404255319148936,80
nodejs,2,5,0.25241312232769375,5,0.2868217054263566,30
nodejs,3,5,0.31218505950209235,5,0.2997416020671835,30
nodejs,4,5,0.37775046528728834,5,0.3023255813953488,30
nodejs,5,5,0.3932618243353108,5,0.3178294573643411,30
nodejs,7,5,0.3502241742595173,5,0.32041343669250644,30
nodejs,10,5,0.3543845530259348,5,0.3152454780361757,30
nodejs,2,8,0.2675053763019019,5,0.26356589147286824,48
nodejs,3,8,0.3939745310342833,5,0.3023255813953488,48
nodejs,4,8,0.3900311420735865,5,0.2661498708010336,48
nodejs,5,8,0.3820360875287961,5,0.27648578811369506,48
nodejs,7,8,0.38841082489151546,5,0.2842377260981912,48
nodejs,10,8,0.473230779510609,5,0.2997416020671835,48
nodejs,2,10,0.3221947092560759,5,0.3178294573643411,60
nodejs,3,10,0.36632278382706157,5,0.3178294573643411,60
nodejs,4,10,0.3888249130118284,5,0.31266149870801035,60
nodejs,5,10,0.37693155366183645,5,0.2971576227390181,60
nodejs,7,10,0.4019693527815255,5,0.3152454780361757,60
nodejs,10,10,0.41188077067256906,5,0.3281653746770026,60
nodejs,2,12,0.30458738974633986,5,0.31007751937984496,72
nodejs,3,12,0.371621199039548,5,0.3178294573643411,72
nodejs,4,12,0.5281547032483803,5,0.32558139534883723,72
nodejs,5,12,0.4402747449539739,5,0.3178294573643411,72
nodejs,7,12,0.45093935132177965,5,0.3152454780361757,72
nodejs,10,12,0.4293296282513379,5,0.3152454780361757,72
nodejs,2,15,0.3026306760742522,5,0.3152454780361757,90
nodejs,3,15,0.39753661718426764,5,0.2868217054263566,90
nodejs,4,15,0.3207373157624195,5,0.31007751937984496,90
nodejs,5,15,0.39341828547776864,5,0.2997416020671835,90
nodejs,7,15,0.4159875157149112,5,0.3281653746770026,90
nodejs,10,15,0.4264479563243835,5,0.330749354005168,90
nodejs,2,20,0.36775771158875614,5,0.28165374677002586,120
nodejs,3,20,0.3793335592966891,5,0.28940568475452194,120
nodejs,4,20,0.37936942530891177,5,0.29457364341085274,120
nodejs,5,20,0.38172517959462965,5,0.28940568475452194,120
nodejs,7,20,0.4417932269495734,5,0.28940568475452194,120
nodejs,10,20,0.4112725512142587,5,0.3049095607235142,120
poppler,2,5,0.25519890791780925,5,0.28365384615384615,30
poppler,3,5,0.2474470595954032,5,0.28846153846153844,30
poppler,4,5,0.2474470595954032,5,0.28846153846153844,30
poppler,5,5,0.24482073678442323,5,0.2932692307692308,30
poppler,7,5,0.24333020349387072,5,0.30288461538461536,30
poppler,10,5,0.24332984962280438,5,0.2980769230769231,30
poppler,2,8,0.25519926189307796,5,0.27403846153846156,48
poppler,3,8,0.25519926189307796,5,0.27403846153846156,48
poppler,4,8,0.25519926189307796,5,0.27403846153846156,48
poppler,5,8,0.2476324494699935,5,0.27403846153846156,48
poppler,7,8,0.24763491092362955,5,0.27403846153846156,48
poppler,10,8,0.24763491092362955,5,0.27403846153846156,48
poppler,2,10,0.25519851036791974,5,0.2932692307692308,60
poppler,3,10,0.25370726933523446,5,0.2932692307692308,60
poppler,4,10,0.25370906527959397,5,0.2932692307692308,60
poppler,5,10,0.25370906527959397,5,0.2932692307692308,60
poppler,7,10,0.25370887822350474,5,0.28846153846153844,60
poppler,10,10,0.23887690452496965,5,0.27403846153846156,60
poppler,2,12,0.25519851036791974,5,0.2932692307692308,72
poppler,3,12,0.2551995510905023,5,0.2932692307692308,72
poppler,4,12,0.2524472438155245,5,0.30288461538461536,72
poppler,5,12,0.25244685339587136,5,0.28846153846153844,72
poppler,7,12,0.24410511580724847,5,0.27884615384615385,72
poppler,10,12,0.24410511580724847,5,0.27884615384615385,72
poppler,2,15,0.251782034591239,5,0.28365384615384615,90
poppler,3,15,0.25178307531382155,5,0.28365384615384615,90
poppler,4,15,0.2524738585622341,5,0.2980769230769231,90
poppler,5,15,0.25346043296571824,5,0.2932692307692308,90
poppler,7,15,0.25247550269073177,5,0.28365384615384615,90
poppler,10,15,0.24491969383972126,5,0.28365384615384615,90
poppler,2,20,0.24804591831255177,5,0.28846153846153844,120
poppler,3,20,0.24804591831255177,5,0.28846153846153844,120
poppler,4,20,0.25445627824625194,5,0.28846153846153844,120
poppler,5,20,0.2552040287072596,5,0.2932692307692308,120
