system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target,input_to_config_map
gcc,1,['exec'],1,[56],3751036183.0,0.13917172280325094,0.3751134970544266,both,"{'2mm': 56, '3mm': 56, 'adi': 56, 'atax': 56, 'bicg': 56, 'covariance': 56, 'durbin': 56, 'dynprog': 56, 'fdtd-2d': 56, 'fdtd-apml': 56, 'floyd-warshall': 56, 'gemm': 56, 'gemver': 56, 'gesummv': 56, 'jacobi-1d-imper': 56, 'jacobi-2d-imper': 56, 'lu': 56, 'ludcmp': 56, 'mvt': 56, 'reg_detect': 56, 'seidel-2d': 56, 'symm': 56, 'syr2k': 56, 'syrk': 56, 'trisolv': 56, 'trmm': 56}"
gcc,1,['exec'],2,"[4, 50]",694003039.0,0.01168925344483933,0.06935741464654314,both,"{'2mm': 50, '3mm': 50, 'adi': 50, 'atax': 50, 'bicg': 50, 'covariance': 50, 'durbin': 4, 'dynprog': 4, 'fdtd-2d': 50, 'fdtd-apml': 50, 'floyd-warshall': 50, 'gemm': 50, 'gemver': 50, 'gesummv': 50, 'jacobi-1d-imper': 50, 'jacobi-2d-imper': 50, 'lu': 50, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 50, 'symm': 50, 'syr2k': 50, 'syrk': 50, 'trisolv': 50, 'trmm': 50}"
gcc,1,['exec'],3,"[4, 50, 63]",302001238.0,0.00476450392655224,0.03016836729094018,both,"{'2mm': 63, '3mm': 63, 'adi': 50, 'atax': 63, 'bicg': 63, 'covariance': 50, 'durbin': 4, 'dynprog': 4, 'fdtd-2d': 50, 'fdtd-apml': 50, 'floyd-warshall': 63, 'gemm': 50, 'gemver': 63, 'gesummv': 63, 'jacobi-1d-imper': 63, 'jacobi-2d-imper': 63, 'lu': 63, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 63, 'symm': 50, 'syr2k': 63, 'syrk': 63, 'trisolv': 63, 'trmm': 63}"
gcc,1,['exec'],4,"[4, 14, 50, 62]",260000821.0,0.003164167696888244,0.025999438862056117,both,"{'2mm': 62, '3mm': 14, 'adi': 50, 'atax': 14, 'bicg': 50, 'covariance': 14, 'durbin': 4, 'dynprog': 4, 'fdtd-2d': 50, 'fdtd-apml': 50, 'floyd-warshall': 14, 'gemm': 50, 'gemver': 14, 'gesummv': 62, 'jacobi-1d-imper': 14, 'jacobi-2d-imper': 50, 'lu': 14, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 14, 'symm': 62, 'syr2k': 50, 'syrk': 14, 'trisolv': 14, 'trmm': 14}"
gcc,1,['exec'],5,"[4, 14, 47, 50, 62]",57000219.0,0.0008461961192472718,0.005718208698143938,both,"{'2mm': 47, '3mm': 14, 'adi': 50, 'atax': 14, 'bicg': 50, 'covariance': 14, 'durbin': 4, 'dynprog': 4, 'fdtd-2d': 50, 'fdtd-apml': 50, 'floyd-warshall': 47, 'gemm': 47, 'gemver': 14, 'gesummv': 62, 'jacobi-1d-imper': 14, 'jacobi-2d-imper': 50, 'lu': 14, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 14, 'symm': 62, 'syr2k': 47, 'syrk': 47, 'trisolv': 47, 'trmm': 14}"
gcc,1,['exec'],6,"[4, 14, 47, 50, 62, 73]",26000122.0,0.0004738021326760116,0.002609079347538068,both,"{'2mm': 47, '3mm': 14, 'adi': 50, 'atax': 14, 'bicg': 50, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'fdtd-2d': 50, 'fdtd-apml': 50, 'floyd-warshall': 73, 'gemm': 47, 'gemver': 14, 'gesummv': 62, 'jacobi-1d-imper': 14, 'jacobi-2d-imper': 50, 'lu': 14, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 14, 'symm': 62, 'syr2k': 47, 'syrk': 47, 'trisolv': 47, 'trmm': 14}"
gcc,1,['exec'],7,"[4, 14, 39, 47, 50, 62, 73]",14000040.0,0.00015513252553677706,0.0014053652130559574,both,"{'2mm': 47, '3mm': 14, 'adi': 50, 'atax': 14, 'bicg': 50, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'fdtd-2d': 50, 'fdtd-apml': 50, 'floyd-warshall': 73, 'gemm': 47, 'gemver': 39, 'gesummv': 62, 'jacobi-1d-imper': 39, 'jacobi-2d-imper': 39, 'lu': 39, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 39, 'symm': 62, 'syr2k': 47, 'syrk': 47, 'trisolv': 47, 'trmm': 14}"
gcc,1,['exec'],8,"[4, 14, 17, 39, 47, 50, 62, 73]",5000024.0,9.427148266758676e-05,0.0005436998776675323,both,"{'2mm': 17, '3mm': 14, 'adi': 50, 'atax': 14, 'bicg': 50, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'fdtd-2d': 50, 'fdtd-apml': 50, 'floyd-warshall': 73, 'gemm': 47, 'gemver': 39, 'gesummv': 62, 'jacobi-1d-imper': 39, 'jacobi-2d-imper': 39, 'lu': 39, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 39, 'symm': 62, 'syr2k': 17, 'syrk': 47, 'trisolv': 47, 'trmm': 14}"
gcc,1,['exec'],9,"[4, 13, 14, 17, 39, 47, 50, 62, 73]",5000014.0,5.732736909240097e-05,0.0005436998776675323,both,"{'2mm': 17, '3mm': 14, 'adi': 50, 'atax': 14, 'bicg': 50, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'fdtd-2d': 50, 'fdtd-apml': 50, 'floyd-warshall': 73, 'gemm': 47, 'gemver': 13, 'gesummv': 62, 'jacobi-1d-imper': 39, 'jacobi-2d-imper': 13, 'lu': 39, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 39, 'symm': 62, 'syr2k': 17, 'syrk': 47, 'trisolv': 47, 'trmm': 14}"
gcc,1,['exec'],10,"[4, 11, 13, 14, 17, 39, 47, 50, 62, 73]",5000008.0,3.454406412946912e-05,0.0005436998776675323,both,"{'2mm': 17, '3mm': 14, 'adi': 11, 'atax': 14, 'bicg': 50, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'fdtd-2d': 11, 'fdtd-apml': 50, 'floyd-warshall': 73, 'gemm': 47, 'gemver': 13, 'gesummv': 62, 'jacobi-1d-imper': 39, 'jacobi-2d-imper': 13, 'lu': 39, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 39, 'symm': 62, 'syr2k': 17, 'syrk': 47, 'trisolv': 47, 'trmm': 14}"
gcc,1,['exec'],11,"[4, 11, 13, 14, 17, 39, 47, 50, 62, 73, 77]",1000003.0,1.3632530373025567e-05,0.0001222088374447813,both,"{'2mm': 17, '3mm': 14, 'adi': 11, 'atax': 14, 'bicg': 77, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'fdtd-2d': 11, 'fdtd-apml': 50, 'floyd-warshall': 73, 'gemm': 47, 'gemver': 13, 'gesummv': 62, 'jacobi-1d-imper': 39, 'jacobi-2d-imper': 13, 'lu': 39, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 39, 'symm': 62, 'syr2k': 17, 'syrk': 47, 'trisolv': 47, 'trmm': 14}"
gcc,1,['exec'],12,"[4, 5, 11, 13, 14, 17, 39, 47, 50, 62, 73, 77]",1000002.0,9.112884375803546e-06,0.0001222088374447813,both,"{'2mm': 17, '3mm': 14, 'adi': 5, 'atax': 14, 'bicg': 77, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'fdtd-2d': 11, 'fdtd-apml': 50, 'floyd-warshall': 73, 'gemm': 47, 'gemver': 13, 'gesummv': 62, 'jacobi-1d-imper': 39, 'jacobi-2d-imper': 13, 'lu': 39, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 39, 'symm': 62, 'syr2k': 17, 'syrk': 47, 'trisolv': 47, 'trmm': 14}"
gcc,1,['exec'],13,"[4, 11, 13, 14, 17, 39, 47, 50, 51, 62, 64, 73, 77]",1000001.0,4.566927488020135e-06,0.0001175107959277726,both,"{'2mm': 17, '3mm': 14, 'adi': 11, 'atax': 14, 'bicg': 77, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'fdtd-2d': 11, 'fdtd-apml': 50, 'floyd-warshall': 73, 'gemm': 47, 'gemver': 13, 'gesummv': 51, 'jacobi-1d-imper': 39, 'jacobi-2d-imper': 13, 'lu': 39, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 64, 'seidel-2d': 39, 'symm': 62, 'syr2k': 17, 'syrk': 47, 'trisolv': 47, 'trmm': 14}"
