system,num_performances,performances,num_configs,selected_configs,fold,train_cost,train_wcp_mean,train_wcp_max,test_wcp_mean,test_wcp_max,optimization_target,input_to_config_map
gcc,1,['exec'],1,[56],1,3751028285.0,0.14887391625953766,0.3751134970544266,0.11283719770761548,0.2991130462828544,both,"{'3mm': 56, 'adi': 56, 'atax': 56, 'bicg': 56, 'covariance': 56, 'durbin': 56, 'dynprog': 56, 'floyd-warshall': 56, 'gemver': 56, 'jacobi-1d-imper': 56, 'jacobi-2d-imper': 56, 'ludcmp': 56, 'mvt': 56, 'reg_detect': 56, 'seidel-2d': 56, 'symm': 56, 'syr2k': 56, 'syrk': 56, 'trmm': 56}"
gcc,1,['exec'],2,"[4, 50]",1,498001919.0,0.010106685003385362,0.04982937920569731,0.015984796357357244,0.06935741464654314,both,"{'3mm': 50, 'adi': 50, 'atax': 50, 'bicg': 50, 'covariance': 50, 'durbin': 4, 'dynprog': 4, 'floyd-warshall': 50, 'gemver': 50, 'jacobi-1d-imper': 50, 'jacobi-2d-imper': 50, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 50, 'symm': 50, 'syr2k': 50, 'syrk': 50, 'trmm': 50}"
gcc,1,['exec'],3,"[4, 14, 50]",1,302000568.0,0.002995783400334351,0.03016836729094018,0.014494683864662248,0.06935741464654314,both,"{'3mm': 14, 'adi': 50, 'atax': 14, 'bicg': 50, 'covariance': 14, 'durbin': 4, 'dynprog': 4, 'floyd-warshall': 14, 'gemver': 14, 'jacobi-1d-imper': 14, 'jacobi-2d-imper': 50, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 14, 'symm': 50, 'syr2k': 50, 'syrk': 14, 'trmm': 14}"
gcc,1,['exec'],4,"[4, 50, 62, 63]",1,68000368.0,0.0019382476314247458,0.006774178421166108,0.008039039148174913,0.025999438862056117,both,"{'3mm': 63, 'adi': 50, 'atax': 63, 'bicg': 63, 'covariance': 50, 'durbin': 4, 'dynprog': 4, 'floyd-warshall': 63, 'gemver': 63, 'jacobi-1d-imper': 63, 'jacobi-2d-imper': 63, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 63, 'symm': 62, 'syr2k': 63, 'syrk': 63, 'trmm': 63}"
gcc,1,['exec'],5,"[4, 14, 50, 62, 73]",1,39000115.0,0.000611155795979003,0.003876340880189925,0.00785264916316749,0.025999438862056117,both,"{'3mm': 14, 'adi': 50, 'atax': 14, 'bicg': 50, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'floyd-warshall': 73, 'gemver': 14, 'jacobi-1d-imper': 14, 'jacobi-2d-imper': 50, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 14, 'symm': 62, 'syr2k': 73, 'syrk': 14, 'trmm': 14}"
gcc,1,['exec'],6,"[4, 13, 14, 50, 62, 73]",1,16000048.0,0.0002554843253096395,0.0015866658921862226,0.005544538639892775,0.024401988252705405,both,"{'3mm': 14, 'adi': 50, 'atax': 14, 'bicg': 50, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'floyd-warshall': 73, 'gemver': 13, 'jacobi-1d-imper': 13, 'jacobi-2d-imper': 13, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 13, 'symm': 62, 'syr2k': 73, 'syrk': 13, 'trmm': 14}"
gcc,1,['exec'],7,"[4, 14, 39, 47, 50, 62, 73]",1,5000020.0,0.0001065612101878384,0.0005436998776675323,0.00028696895291246765,0.0014053652130559574,both,"{'3mm': 14, 'adi': 50, 'atax': 14, 'bicg': 50, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'floyd-warshall': 73, 'gemver': 39, 'jacobi-1d-imper': 39, 'jacobi-2d-imper': 39, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 39, 'symm': 62, 'syr2k': 47, 'syrk': 47, 'trmm': 14}"
gcc,1,['exec'],8,"[4, 13, 14, 39, 50, 62, 73, 76]",1,4000010.0,5.805257810283431e-05,0.0004369016874113714,0.005083168047849403,0.024401988252705405,both,"{'3mm': 14, 'adi': 50, 'atax': 14, 'bicg': 76, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'floyd-warshall': 73, 'gemver': 13, 'jacobi-1d-imper': 39, 'jacobi-2d-imper': 13, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 39, 'symm': 62, 'syr2k': 73, 'syrk': 76, 'trmm': 14}"
gcc,1,['exec'],9,"[4, 13, 14, 39, 47, 50, 62, 73, 77]",1,2000005.0,2.7390324365608775e-05,0.00021995610519804412,0.00028696895291246765,0.0014053652130559574,both,"{'3mm': 14, 'adi': 50, 'atax': 14, 'bicg': 77, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'floyd-warshall': 73, 'gemver': 13, 'jacobi-1d-imper': 39, 'jacobi-2d-imper': 13, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 39, 'symm': 62, 'syr2k': 47, 'syrk': 47, 'trmm': 14}"
gcc,1,['exec'],10,"[4, 11, 13, 14, 39, 47, 50, 62, 73, 77]",1,1000003.0,1.9313375005611104e-05,0.0001272344917340571,0.00021698029294590248,0.0014053652130559574,both,"{'3mm': 14, 'adi': 11, 'atax': 14, 'bicg': 77, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'floyd-warshall': 73, 'gemver': 13, 'jacobi-1d-imper': 39, 'jacobi-2d-imper': 13, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 39, 'symm': 62, 'syr2k': 11, 'syrk': 47, 'trmm': 14}"
gcc,1,['exec'],11,"[4, 5, 13, 14, 17, 39, 47, 50, 62, 73, 77]",1,1000001.0,6.496745063449064e-06,0.0001222088374447813,7.981154722601037e-05,0.0004451839930167127,both,"{'3mm': 14, 'adi': 5, 'atax': 14, 'bicg': 77, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'floyd-warshall': 73, 'gemver': 13, 'jacobi-1d-imper': 39, 'jacobi-2d-imper': 13, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 39, 'symm': 62, 'syr2k': 17, 'syrk': 47, 'trmm': 14}"
gcc,1,['exec'],12,"[4, 5, 13, 14, 17, 39, 47, 50, 62, 64, 73, 77]",1,0.0,6.470098740794272e-08,1.2293187607509118e-06,7.981154722601037e-05,0.0004451839930167127,both,"{'3mm': 14, 'adi': 5, 'atax': 14, 'bicg': 77, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'floyd-warshall': 73, 'gemver': 13, 'jacobi-1d-imper': 39, 'jacobi-2d-imper': 13, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 64, 'seidel-2d': 39, 'symm': 62, 'syr2k': 17, 'syrk': 47, 'trmm': 14}"
gcc,1,['exec'],13,"[4, 5, 13, 14, 17, 22, 39, 47, 50, 62, 64, 73, 77]",1,0.0,0.0,0.0,7.981154722601037e-05,0.0004451839930167127,both,"{'3mm': 14, 'adi': 5, 'atax': 14, 'bicg': 77, 'covariance': 14, 'durbin': 4, 'dynprog': 73, 'floyd-warshall': 73, 'gemver': 13, 'jacobi-1d-imper': 39, 'jacobi-2d-imper': 13, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 64, 'seidel-2d': 39, 'symm': 62, 'syr2k': 22, 'syrk': 47, 'trmm': 14}"
gcc,1,['exec'],1,[56],2,3751027916.0,0.1469325343961304,0.3751134970544266,0.11810666276543524,0.26734194581088927,both,"{'2mm': 56, 'bicg': 56, 'durbin': 56, 'dynprog': 56, 'fdtd-2d': 56, 'fdtd-apml': 56, 'floyd-warshall': 56, 'gemm': 56, 'gesummv': 56, 'jacobi-1d-imper': 56, 'lu': 56, 'ludcmp': 56, 'mvt': 56, 'reg_detect': 56, 'seidel-2d': 56, 'symm': 56, 'syr2k': 56, 'trisolv': 56, 'trmm': 56}"
gcc,1,['exec'],2,"[4, 50]",2,694002147.0,0.011296938662363603,0.06935741464654314,0.012754107854416302,0.04982937920569731,both,"{'2mm': 50, 'bicg': 50, 'durbin': 4, 'dynprog': 4, 'fdtd-2d': 50, 'fdtd-apml': 50, 'floyd-warshall': 50, 'gemm': 50, 'gesummv': 50, 'jacobi-1d-imper': 50, 'lu': 50, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 50, 'symm': 50, 'syr2k': 50, 'trisolv': 50, 'trmm': 50}"
gcc,1,['exec'],3,"[4, 50, 62]",2,260001381.0,0.007271915618087894,0.025999438862056117,0.012754107854416302,0.04982937920569731,both,"{'2mm': 62, 'bicg': 50, 'durbin': 4, 'dynprog': 4, 'fdtd-2d': 50, 'fdtd-apml': 50, 'floyd-warshall': 50, 'gemm': 50, 'gesummv': 62, 'jacobi-1d-imper': 50, 'lu': 50, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 50, 'symm': 62, 'syr2k': 50, 'trisolv': 50, 'trmm': 50}"
gcc,1,['exec'],4,"[4, 13, 50, 62]",2,244000514.0,0.0027131655750003984,0.024401988252705405,0.006471196091286503,0.03670994530658767,both,"{'2mm': 62, 'bicg': 50, 'durbin': 4, 'dynprog': 4, 'fdtd-2d': 50, 'fdtd-apml': 50, 'floyd-warshall': 13, 'gemm': 13, 'gesummv': 62, 'jacobi-1d-imper': 13, 'lu': 13, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 13, 'symm': 62, 'syr2k': 13, 'trisolv': 13, 'trmm': 13}"
gcc,1,['exec'],5,"[4, 39, 47, 50, 62]",2,57000128.0,0.0006761868661646931,0.005718208698143938,0.00566341281863362,0.031018981657453763,both,"{'2mm': 47, 'bicg': 50, 'durbin': 4, 'dynprog': 4, 'fdtd-2d': 50, 'fdtd-apml': 50, 'floyd-warshall': 47, 'gemm': 47, 'gesummv': 62, 'jacobi-1d-imper': 39, 'lu': 39, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 39, 'symm': 62, 'syr2k': 47, 'trisolv': 47, 'trmm': 47}"
gcc,1,['exec'],6,"[4, 39, 47, 50, 62, 73]",2,14000031.0,0.00016659509506717919,0.0014053652130559574,0.00566341281863362,0.031018981657453763,both,"{'2mm': 47, 'bicg': 50, 'durbin': 4, 'dynprog': 73, 'fdtd-2d': 50, 'fdtd-apml': 50, 'floyd-warshall': 73, 'gemm': 47, 'gesummv': 62, 'jacobi-1d-imper': 39, 'lu': 39, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 39, 'symm': 62, 'syr2k': 47, 'trisolv': 47, 'trmm': 47}"
gcc,1,['exec'],7,"[4, 17, 39, 47, 50, 62, 73]",2,5000015.0,8.331156271986615e-05,0.0005436998776675323,0.00566341281863362,0.031018981657453763,both,"{'2mm': 17, 'bicg': 50, 'durbin': 4, 'dynprog': 73, 'fdtd-2d': 50, 'fdtd-apml': 50, 'floyd-warshall': 73, 'gemm': 47, 'gesummv': 62, 'jacobi-1d-imper': 39, 'lu': 39, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 39, 'symm': 62, 'syr2k': 17, 'trisolv': 47, 'trmm': 47}"
gcc,1,['exec'],8,"[4, 11, 17, 39, 47, 50, 62, 73]",2,5000010.0,5.7526266942710555e-05,0.0005436998776675323,0.005648777774452153,0.031018981657453763,both,"{'2mm': 17, 'bicg': 50, 'durbin': 4, 'dynprog': 73, 'fdtd-2d': 11, 'fdtd-apml': 50, 'floyd-warshall': 73, 'gemm': 47, 'gesummv': 62, 'jacobi-1d-imper': 39, 'lu': 39, 'ludcmp': 50, 'mvt': 50, 'reg_detect': 50, 'seidel-2d': 39, 'symm': 62, 'syr2k': 17, 'trisolv': 47, 'trmm': 47}"
