system,num_performances,performances,num_configs,selected_configs,fold,train_cost,train_wcp_mean,train_wcp_max,test_wcp_mean,test_wcp_max,optimization_target
gcc,1,['exec'],1,[56],1,0.37511,0.14887391625953766,0.3751134970544266,0.11283719770761548,0.2991130462828544,max
gcc,1,['exec'],2,"[50, 78]",1,0.04983,0.013218536042750199,0.04982937920569731,0.015984796357357244,0.06935741464654314,max
gcc,1,['exec'],3,"[12, 50, 76]",1,0.03017,0.009020638690515673,0.03016836729094018,0.011129881703897695,0.03992556022874144,max
gcc,1,['exec'],4,"[4, 50, 62, 63]",1,0.00677,0.0019382476314247458,0.006774178421166108,0.008039039148174913,0.025999438862056117,max
gcc,1,['exec'],5,"[4, 14, 50, 62, 73]",1,0.00388,0.000611155795979003,0.003876340880189925,0.00785264916316749,0.025999438862056117,max
gcc,1,['exec'],6,"[4, 13, 14, 40, 50, 62]",1,0.00159,0.00035680689682218925,0.0015866658921862226,0.00562286702010841,0.024401988252705405,max
gcc,1,['exec'],7,"[4, 14, 39, 50, 62, 73, 76]",1,0.00051,0.00010860768088993066,0.0005067391982264112,0.007304836574551289,0.025999438862056117,max
gcc,1,['exec'],8,"[4, 13, 14, 39, 50, 62, 73, 76]",1,0.00044,5.805257810283431e-05,0.0004369016874113714,0.005083168047849403,0.024401988252705405,max
gcc,1,['exec'],9,"[4, 13, 14, 39, 47, 50, 62, 73, 77]",1,0.00022,2.7390324365608775e-05,0.00021995610519804412,0.00028696895291246765,0.0014053652130559574,max
gcc,1,['exec'],10,"[4, 11, 13, 14, 39, 50, 62, 73, 76, 77]",1,0.00013,2.5158391944334337e-05,0.0001272344917340571,0.005013179387882838,0.024401988252705405,max
gcc,1,['exec'],11,"[4, 11, 13, 14, 17, 39, 47, 50, 62, 73, 77]",1,0.00012,1.2681523796489727e-05,0.0001222088374447813,1.6213833937908565e-05,0.00011349683756535996,max
gcc,1,['exec'],12,"[4, 5, 13, 14, 22, 39, 47, 50, 62, 64, 73, 77]",1,0.0,0.0,0.0,0.0002805780062340043,0.0014053652130559574,max
gcc,1,['exec'],1,[56],2,0.37511,0.1469325343961304,0.3751134970544266,0.11810666276543524,0.26734194581088927,max
gcc,1,['exec'],2,"[23, 50]",2,0.06936,0.014663563549283337,0.06935741464654314,0.012754107854416302,0.04982937920569731,max
gcc,1,['exec'],3,"[4, 50, 62]",2,0.026,0.007271915618087894,0.025999438862056117,0.012754107854416302,0.04982937920569731,max
gcc,1,['exec'],4,"[4, 13, 60, 62]",2,0.0244,0.0039036356370165588,0.024401988252705405,0.007910727092619942,0.032368669559062264,max
gcc,1,['exec'],5,"[4, 47, 50, 62, 63]",2,0.00572,0.0009730582767783716,0.005718208698143938,0.0017431062664466036,0.00636954411447462,max
gcc,1,['exec'],6,"[4, 39, 47, 50, 62, 73]",2,0.00141,0.00016659509506717919,0.0014053652130559574,0.00566341281863362,0.031018981657453763,max
gcc,1,['exec'],7,"[4, 17, 39, 47, 50, 62, 73]",2,0.00054,8.331156271986615e-05,0.0005436998776675323,0.00566341281863362,0.031018981657453763,max
gcc,1,['exec'],8,"[4, 17, 39, 47, 50, 62, 73, 77]",2,0.00049,5.469577968473288e-05,0.0004899206197659565,0.00566341281863362,0.031018981657453763,max
gcc,1,['exec'],9,"[4, 11, 17, 39, 47, 50, 62, 73, 77]",2,0.00031,2.8910483907577274e-05,0.00031236420047307594,0.005648777774452153,0.031018981657453763,max
gcc,1,['exec'],10,"[4, 11, 14, 17, 39, 47, 50, 62, 73, 77]",2,0.00012,1.2470262830046958e-05,0.0001222088374447813,0.00015400824984037188,0.0005067391982264112,max
gcc,1,['exec'],11,"[4, 11, 14, 17, 39, 47, 50, 62, 64, 73, 77]",2,0.00011,6.038218754005835e-06,0.00011349683756535996,0.00015400824984037188,0.0005067391982264112,max
gcc,1,['exec'],12,"[4, 11, 14, 17, 39, 46, 47, 50, 62, 64, 73, 77]",2,0.0,6.470098740794272e-08,1.2293187607509118e-06,0.00015400824984037188,0.0005067391982264112,max
gcc,1,['exec'],1,[56],3,0.37511,0.1447404159656375,0.3751134970544266,0.12060941226196235,0.2643422508187422,max
gcc,1,['exec'],2,"[12, 63]",3,0.06692,0.010855084941143341,0.06692299702337752,0.051582717006840105,0.1829223931687707,max
gcc,1,['exec'],3,"[4, 14, 47]",3,0.01672,0.0028329132596153815,0.016723860443547296,0.0343643597807754,0.1099760446834276,max
gcc,1,['exec'],4,"[4, 14, 47, 50]",3,0.00572,0.0011134832928786952,0.005718208698143938,0.0051483863981519095,0.03016836729094018,max
gcc,1,['exec'],5,"[4, 14, 47, 50, 73]",3,0.00261,0.0006293711103360572,0.002609079347538068,0.0051483863981519095,0.03016836729094018,max
gcc,1,['exec'],6,"[4, 14, 39, 47, 50, 73]",3,0.00141,0.00020839398974437066,0.0014053652130559574,0.0051483863981519095,0.03016836729094018,max
gcc,1,['exec'],7,"[4, 14, 17, 39, 47, 50, 73]",3,0.00097,0.00013812572909157277,0.0009698820664678429,0.005118882747894744,0.03016836729094018,max
gcc,1,['exec'],8,"[4, 14, 17, 39, 46, 47, 50, 73]",3,0.00051,8.963162576818062e-05,0.0005067391982264112,0.0017594028498956339,0.01001148790294552,max
gcc,1,['exec'],9,"[4, 14, 17, 39, 47, 50, 63, 73, 77]",3,0.00049,8.58416335944953e-05,0.0004899206197659565,0.005028266101616822,0.03016836729094018,max
gcc,1,['exec'],10,"[4, 11, 13, 14, 17, 39, 46, 47, 50, 73]",3,0.00012,1.1985981668627695e-05,0.0001222088374447813,0.0017594028498956339,0.01001148790294552,max
gcc,1,['exec'],11,"[0, 4, 11, 13, 14, 17, 39, 47, 50, 62, 73]",3,0.00012,1.766082354689569e-05,0.0001222088374447813,9.08215327380472e-05,0.0005436998776675323,max
gcc,1,['exec'],1,[50],4,0.06936,0.011954379932744005,0.06935741464654314,0.08723366579506363,0.44864048338368545,max
gcc,1,['exec'],2,"[28, 50]",4,0.03017,0.00793877649918455,0.03016836729094018,0.08548918968782265,0.44864048338368545,max
