system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target
gcc,1,['exec'],1,[np.int64(50)],0.029323076923076924,0.029326522824048525,0.44864048338368545,mean
gcc,1,['exec'],2,"[np.int64(4), np.int64(50)]",0.011688461538461538,0.011689253444839327,0.06935741464654314,mean
gcc,1,['exec'],3,"[np.int64(4), np.int64(50), np.int64(63)]",0.004761538461538461,0.004764503926552239,0.03016836729094018,mean
gcc,1,['exec'],4,"[np.int64(4), np.int64(14), np.int64(47), np.int64(50)]",0.0020423076923076922,0.0020446147787109756,0.03016836729094018,mean
gcc,1,['exec'],5,"[np.int64(4), np.int64(14), np.int64(47), np.int64(50), np.int64(62)]",0.0008423076923076923,0.0008461961192472718,0.005718208698143938,mean
gcc,1,['exec'],6,"[np.int64(4), np.int64(14), np.int64(47), np.int64(50), np.int64(62), np.int64(73)]",0.00046923076923076926,0.0004738021326760116,0.002609079347538068,mean
gcc,1,['exec'],7,"[np.int64(4), np.int64(14), np.int64(39), np.int64(47), np.int64(50), np.int64(62), np.int64(73)]",0.00015384615384615385,0.00015513252553677706,0.0014053652130559574,mean
gcc,1,['exec'],8,"[np.int64(4), np.int64(14), np.int64(17), np.int64(39), np.int64(47), np.int64(50), np.int64(62), np.int64(73)]",9.230769230769232e-05,9.427148266758676e-05,0.0005436998776675323,mean
gcc,1,['exec'],9,"[np.int64(4), np.int64(13), np.int64(14), np.int64(17), np.int64(39), np.int64(47), np.int64(50), np.int64(62), np.int64(73)]",5.384615384615385e-05,5.732736909240097e-05,0.0005436998776675323,mean
gcc,1,['exec'],10,"[np.int64(4), np.int64(11), np.int64(13), np.int64(14), np.int64(17), np.int64(39), np.int64(47), np.int64(50), np.int64(62), np.int64(73)]",3.076923076923077e-05,3.454406412946912e-05,0.0005436998776675323,mean
gcc,2,"['exec', 'ctime']",1,[np.int64(26)],0.21325384615384615,0.2132563490799178,0.3760428736078459,mean
gcc,2,"['exec', 'ctime']",2,"[np.int64(36), np.int64(54)]",0.1896923076923077,0.18969169878854084,0.3811636161307975,mean
