system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target
imagemagick,1,['size'],1,[np.int64(96)],0.1103,0.001118573351498125,0.11033446505979239,max
imagemagick,1,['size'],2,"[np.int64(75), np.int64(96)]",0.0737,0.00044556194417079263,0.07372023103093599,max
imagemagick,1,['size'],3,"[np.int64(58), np.int64(75), np.int64(96)]",0.0,0.0,0.0,max
imagemagick,2,"['size', 'time']",1,[np.int64(91)],0.35,0.024795051998435826,0.35,max
imagemagick,2,"['size', 'time']",2,"[np.int64(72), np.int64(93)]",0.199,0.02615662133792597,0.19895287958115185,max
imagemagick,2,"['size', 'time']",3,"[np.int64(72), np.int64(91), np.int64(96)]",0.1609,0.019693360032484605,0.16091954022988506,max
imagemagick,2,"['size', 'time']",4,"[np.int64(24), np.int64(72), np.int64(91), np.int64(96)]",0.1392,0.019437544057083252,0.13924050632911386,max
imagemagick,2,"['size', 'time']",5,"[np.int64(24), np.int64(72), np.int64(82), np.int64(91), np.int64(96)]",0.1333,0.018820375109019433,0.13333333333333333,max
imagemagick,2,"['size', 'time']",6,"[np.int64(24), np.int64(52), np.int64(72), np.int64(82), np.int64(91), np.int64(96)]",0.1286,0.018275336136203232,0.12857142857142856,max
imagemagick,2,"['size', 'time']",7,"[np.int64(0), np.int64(24), np.int64(52), np.int64(72), np.int64(82), np.int64(91), np.int64(96)]",0.1286,0.018275336136203232,0.12857142857142856,max
