system,num_performances,performances,num_configs,selected_configs,fold,train_cost,train_wcp_mean,train_wcp_max,test_wcp_mean,test_wcp_max,optimization_target
imagemagick,1,['size'],1,[np.int64(96)],1,0.00112756,0.00112754497766062,0.11033446505979239,0.001091658473010638,0.05870242758699568,mean
imagemagick,1,['size'],2,"[np.int64(82), np.int64(96)]",1,0.0003432933333333333,0.00034329177136971004,0.07372023103093599,0.0007523724625740401,0.05870242758699568,mean
imagemagick,1,['size'],3,"[np.int64(58), np.int64(82), np.int64(96)]",1,0.0,0.0,0.0,0.0,0.0,mean
imagemagick,1,['size'],1,[np.int64(96)],2,0.00092004,0.0009200250514546859,0.07372023103093599,0.0017142182516284412,0.11033446505979239,mean
imagemagick,1,['size'],2,"[np.int64(64), np.int64(96)]",2,0.00042533333333333334,0.00042530720559270355,0.0539059574936681,0.0014161240125312175,0.11033446505979239,mean
imagemagick,1,['size'],3,"[np.int64(64), np.int64(75), np.int64(96)]",2,0.0,0.0,0.0,0.0,0.0,mean
imagemagick,1,['size'],1,[np.int64(96)],3,0.0012853200000000002,0.001285301004041528,0.11033446505979239,0.0006183903938679151,0.04471400847065412,mean
imagemagick,1,['size'],2,"[np.int64(82), np.int64(96)]",3,0.0005054933333333334,0.0005054802136119048,0.07372023103093599,0.00026580713584745585,0.023633791695819254,mean
imagemagick,1,['size'],3,"[np.int64(24), np.int64(82), np.int64(96)]",3,0.0,0.0,0.0,0.0,0.0,mean
imagemagick,1,['size'],1,[np.int64(96)],4,0.0011414,0.0011414223728356647,0.11033446505979239,0.0010500262874855043,0.07372023103093599,mean
imagemagick,1,['size'],2,"[np.int64(82), np.int64(96)]",4,0.0004387466666666667,0.0004387579458395732,0.05870242758699568,0.00046597393916445075,0.07372023103093599,mean
imagemagick,1,['size'],3,"[np.int64(24), np.int64(82), np.int64(96)]",4,0.0,0.0,0.0,0.0,0.0,mean
imagemagick,2,"['size', 'time']",1,[np.int64(91)],1,0.024803173333333334,0.024803202522849746,0.35,0.02477060042519407,0.21518987341772153,mean
imagemagick,2,"['size', 'time']",2,"[np.int64(72), np.int64(91)]",1,0.020495279999999998,0.020495326579200286,0.25225225225225223,0.021029273052081514,0.16455696202531642,mean
imagemagick,2,"['size', 'time']",3,"[np.int64(72), np.int64(75), np.int64(91)]",1,0.01900012,0.019000143495297075,0.25225225225225223,0.020423046285882845,0.16455696202531642,mean
imagemagick,2,"['size', 'time']",4,"[np.int64(52), np.int64(72), np.int64(75), np.int64(91)]",1,0.018172773333333333,0.018172810475138496,0.14414414414414417,0.019304845305264252,0.16455696202531642,mean
imagemagick,2,"['size', 'time']",5,"[np.int64(52), np.int64(72), np.int64(75), np.int64(91), np.int64(96)]",1,0.017809493333333332,0.017809538276070968,0.12857142857142856,0.01877701725425411,0.13924050632911386,mean
imagemagick,2,"['size', 'time']",6,"[np.int64(24), np.int64(52), np.int64(72), np.int64(75), np.int64(91), np.int64(96)]",1,0.017662613333333334,0.01766265037445014,0.12857142857142856,0.018706429018959993,0.13924050632911386,mean
imagemagick,2,"['size', 'time']",7,"[np.int64(24), np.int64(52), np.int64(66), np.int64(72), np.int64(75), np.int64(91), np.int64(96)]",1,0.017556546666666666,0.01755658207316109,0.12857142857142856,0.018706429018959993,0.13924050632911386,mean
imagemagick,2,"['size', 'time']",8,"[np.int64(24), np.int64(30), np.int64(52), np.int64(66), np.int64(72), np.int64(75), np.int64(91), np.int64(96)]",1,0.017476453333333333,0.01747648458352934,0.12857142857142856,0.018625210744848318,0.13924050632911386,mean
imagemagick,2,"['size', 'time']",9,"[np.int64(23), np.int64(24), np.int64(29), np.int64(58), np.int64(66), np.int64(72), np.int64(75), np.int64(91), np.int64(96)]",1,0.017442693333333335,0.01744270867614392,0.12857142857142856,0.018871295315584645,0.13333333333333333,mean
imagemagick,2,"['size', 'time']",10,"[np.int64(23), np.int64(24), np.int64(29), np.int64(58), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(96)]",1,0.017419546666666667,0.017419562392872748,0.12857142857142856,0.018751058247044965,0.13333333333333333,mean
imagemagick,2,"['size', 'time']",11,"[np.int64(23), np.int64(24), np.int64(30), np.int64(52), np.int64(58), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(96)]",1,0.017403786666666667,0.017403810933846207,0.12857142857142856,0.01849850681556502,0.1259259259259259,mean
imagemagick,2,"['size', 'time']",12,"[np.int64(23), np.int64(24), np.int64(30), np.int64(52), np.int64(58), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(93), np.int64(96)]",1,0.017389813333333334,0.017389829575657125,0.12857142857142856,0.01849850681556502,0.1259259259259259,mean
imagemagick,2,"['size', 'time']",13,"[np.int64(23), np.int64(24), np.int64(29), np.int64(30), np.int64(52), np.int64(58), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(93), np.int64(96)]",1,0.01738624,0.0173862575598022,0.12857142857142856,0.01849850681556502,0.1259259259259259,mean
imagemagick,2,"['size', 'time']",14,"[np.int64(23), np.int64(24), np.int64(29), np.int64(30), np.int64(52), np.int64(58), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(93), np.int64(96), np.int64(99)]",1,0.01738624,0.0173862575598022,0.12857142857142856,0.01849850681556502,0.1259259259259259,mean
imagemagick,2,"['size', 'time']",1,[np.int64(91)],2,0.025021026666666668,0.025020976751205168,0.35,0.02411727774012782,0.19999999999999996,mean
imagemagick,2,"['size', 'time']",2,"[np.int64(72), np.int64(91)]",2,0.020495666666666666,0.020495641946144172,0.25225225225225223,0.021028326951249864,0.19999999999999996,mean
imagemagick,2,"['size', 'time']",3,"[np.int64(52), np.int64(72), np.int64(91)]",2,0.019345506666666668,0.019345493233004257,0.16455696202531642,0.02052475094726997,0.19999999999999996,mean
imagemagick,2,"['size', 'time']",4,"[np.int64(52), np.int64(72), np.int64(75), np.int64(91)]",2,0.018614786666666668,0.01861476270566951,0.16455696202531642,0.0179789886136712,0.1111111111111111,mean
imagemagick,2,"['size', 'time']",5,"[np.int64(52), np.int64(72), np.int64(75), np.int64(91), np.int64(96)]",2,0.018130253333333332,0.01813024885595297,0.13924050632911386,0.01781488551460811,0.1111111111111111,mean
imagemagick,2,"['size', 'time']",6,"[np.int64(52), np.int64(66), np.int64(72), np.int64(75), np.int64(91), np.int64(96)]",2,0.018024000000000002,0.0180239892929342,0.13924050632911386,0.017791216875554853,0.1111111111111111,mean
imagemagick,2,"['size', 'time']",7,"[np.int64(30), np.int64(52), np.int64(66), np.int64(72), np.int64(75), np.int64(91), np.int64(96)]",2,0.017941173333333334,0.017941166550246638,0.13924050632911386,0.017718174360610617,0.1111111111111111,mean
imagemagick,2,"['size', 'time']",8,"[np.int64(30), np.int64(52), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(96)]",2,0.017866506666666667,0.0178664792535028,0.1352941176470588,0.017697717555722355,0.1111111111111111,mean
imagemagick,2,"['size', 'time']",9,"[np.int64(30), np.int64(52), np.int64(58), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(96)]",2,0.017834386666666667,0.017834362937601534,0.1352941176470588,0.017697717555722355,0.1111111111111111,mean
imagemagick,2,"['size', 'time']",10,"[np.int64(24), np.int64(30), np.int64(52), np.int64(58), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(96)]",2,0.017810866666666664,0.01781083352583683,0.12857142857142856,0.01732967219112527,0.09802697302697302,mean
imagemagick,2,"['size', 'time']",11,"[np.int64(23), np.int64(24), np.int64(30), np.int64(52), np.int64(58), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(96)]",2,0.017793466666666667,0.017793422475326125,0.12857142857142856,0.01732967219112527,0.09802697302697302,mean
imagemagick,2,"['size', 'time']",12,"[np.int64(23), np.int64(24), np.int64(30), np.int64(52), np.int64(58), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(93), np.int64(96)]",2,0.017779493333333334,0.017779441117137043,0.12857142857142856,0.01732967219112527,0.09802697302697302,mean
imagemagick,2,"['size', 'time']",13,"[np.int64(23), np.int64(24), np.int64(29), np.int64(30), np.int64(52), np.int64(58), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(93), np.int64(96)]",2,0.01777592,0.017775869101282118,0.12857142857142856,0.01732967219112527,0.09802697302697302,mean
imagemagick,2,"['size', 'time']",14,"[np.int64(23), np.int64(24), np.int64(29), np.int64(30), np.int64(52), np.int64(58), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(93), np.int64(96), np.int64(99)]",2,0.01777592,0.017775869101282118,0.12857142857142856,0.01732967219112527,0.09802697302697302,mean
