system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target
lingeling,1,['reductions'],1,[np.int64(94)],10001057559.0,0.45781833819844986,1.0,both
lingeling,1,['reductions'],2,"[np.int64(6), np.int64(62)]",10000729837.0,0.31594880013469456,1.0,both
lingeling,1,['reductions'],3,"[np.int64(14), np.int64(16), np.int64(65)]",9375602797.0,0.26095238897759093,0.9375,both
lingeling,1,['reductions'],4,"[np.int64(14), np.int64(16), np.int64(30), np.int64(97)]",9062533281.0,0.23085893130948715,0.90625,both
lingeling,1,['reductions'],5,"[np.int64(16), np.int64(45), np.int64(65), np.int64(94), np.int64(97)]",8621533543.0,0.23097250824314047,0.8620689655172413,both
lingeling,1,['reductions'],6,"[np.int64(16), np.int64(26), np.int64(45), np.int64(56), np.int64(65), np.int64(94)]",8571438017.0,0.18961949499484876,0.8571428571428571,both
lingeling,1,['reductions'],7,"[np.int64(9), np.int64(16), np.int64(26), np.int64(45), np.int64(56), np.int64(65), np.int64(99)]",8125389829.0,0.1687584827633649,0.8125,both
lingeling,1,['reductions'],8,"[np.int64(9), np.int64(16), np.int64(26), np.int64(38), np.int64(45), np.int64(56), np.int64(65), np.int64(93)]",7857351125.0,0.1520027229539482,0.7857142857142857,both
lingeling,1,['reductions'],9,"[np.int64(9), np.int64(16), np.int64(38), np.int64(45), np.int64(47), np.int64(56), np.int64(65), np.int64(88), np.int64(93)]",7500320128.0,0.13858398286046297,0.75,both
lingeling,1,['reductions'],10,"[np.int64(9), np.int64(16), np.int64(38), np.int64(45), np.int64(47), np.int64(56), np.int64(65), np.int64(76), np.int64(88), np.int64(93)]",7143301439.0,0.13049286762649057,0.7142857142857143,both
lingeling,1,['reductions'],11,"[np.int64(9), np.int64(16), np.int64(38), np.int64(45), np.int64(56), np.int64(62), np.int64(65), np.int64(76), np.int64(88), np.int64(89), np.int64(93)]",6667283848.0,0.12287884299565927,0.6666666666666666,both
lingeling,1,['reductions'],12,"[np.int64(9), np.int64(16), np.int64(38), np.int64(45), np.int64(56), np.int64(62), np.int64(65), np.int64(76), np.int64(84), np.int64(88), np.int64(89), np.int64(93)]",6000252684.0,0.10938829526141405,0.6,both
lingeling,1,['reductions'],13,"[np.int64(9), np.int64(16), np.int64(19), np.int64(32), np.int64(38), np.int64(45), np.int64(56), np.int64(60), np.int64(62), np.int64(65), np.int64(84), np.int64(88), np.int64(93)]",5000236732.0,0.10248250264133572,0.5,both
lingeling,1,['reductions'],14,"[np.int64(9), np.int64(10), np.int64(16), np.int64(32), np.int64(38), np.int64(45), np.int64(53), np.int64(56), np.int64(60), np.int64(62), np.int64(65), np.int64(84), np.int64(88), np.int64(93)]",5000213346.0,0.09235898583332694,0.5,both
lingeling,1,['reductions'],15,"[np.int64(7), np.int64(9), np.int64(10), np.int64(16), np.int64(32), np.int64(38), np.int64(45), np.int64(53), np.int64(56), np.int64(60), np.int64(62), np.int64(65), np.int64(84), np.int64(88), np.int64(93)]",5000194085.0,0.08402049892341144,0.5,both
lingeling,1,['reductions'],16,"[np.int64(7), np.int64(9), np.int64(10), np.int64(16), np.int64(32), np.int64(38), np.int64(43), np.int64(45), np.int64(53), np.int64(56), np.int64(60), np.int64(62), np.int64(65), np.int64(84), np.int64(88), np.int64(93)]",5000175554.0,0.07599804419249276,0.5,both
