system,num_performances,performances,num_configs,selected_configs,fold,train_cost,train_wcp_mean,train_wcp_max,test_wcp_mean,test_wcp_max,optimization_target
lingeling,1,['reductions'],1,[np.int64(69)],1,1.0,0.5635897467378813,1.0,0.6627505800299918,1.0,max
lingeling,1,['reductions'],2,"[np.int64(69), np.int64(99)]",1,1.0,0.45606320135006434,1.0,0.48490438408034753,1.0,max
lingeling,1,['reductions'],1,[np.int64(83)],2,1.0,0.524649894078951,1.0,0.522370749785535,1.0,max
lingeling,1,['reductions'],2,"[np.int64(0), np.int64(51)]",2,1.0,0.4502034875981878,1.0,0.356124223745652,1.0,max
lingeling,1,['reductions'],1,[np.int64(43)],3,1.0,0.5229533187941671,1.0,0.534670202251872,1.0,max
lingeling,1,['reductions'],2,"[np.int64(0), np.int64(38)]",3,1.0,0.40239819954127626,1.0,0.36982387445182363,1.0,max
lingeling,1,['reductions'],1,[np.int64(44)],4,1.0,0.5464780140797927,1.0,0.5137870800302742,1.0,max
lingeling,1,['reductions'],2,"[np.int64(44), np.int64(99)]",4,1.0,0.4809220542350397,1.0,0.4240399850200213,1.0,max
lingeling,2,"['reductions', 'cps']",1,[np.int64(94)],1,1.0,0.5291222061542964,1.0,0.6281890023866694,1.0,max
lingeling,2,"['reductions', 'cps']",2,"[np.int64(94), np.int64(99)]",1,1.0,0.4650312683351941,1.0,0.5589082994070352,1.0,max
lingeling,2,"['reductions', 'cps']",1,[np.int64(16)],2,1.0,0.5268399149778618,1.0,0.5917802927781877,1.0,max
lingeling,2,"['reductions', 'cps']",2,"[np.int64(16), np.int64(99)]",2,1.0,0.446432922587973,1.0,0.445538891736897,1.0,max
lingeling,2,"['reductions', 'cps']",1,[np.int64(89)],3,1.0,0.5734077064457518,1.0,0.5935307839870488,1.0,max
lingeling,2,"['reductions', 'cps']",2,"[np.int64(89), np.int64(99)]",3,1.0,0.47408602524392585,1.0,0.5540172926584057,1.0,max
lingeling,2,"['reductions', 'cps']",1,[np.int64(16)],4,1.0,0.5463607765812304,1.0,0.5333295990731733,1.0,max
lingeling,2,"['reductions', 'cps']",2,"[np.int64(16), np.int64(99)]",4,1.0,0.45372619119869445,1.0,0.42325954491029,1.0,max
lingeling,3,"['reductions', 'cps', 'conflicts']",1,[np.int64(94)],1,1.0,0.5337925599645533,1.0,0.6402702401432323,1.0,max
lingeling,3,"['reductions', 'cps', 'conflicts']",2,"[np.int64(94), np.int64(99)]",1,1.0,0.4691045727960979,1.0,0.5652796021289226,1.0,max
lingeling,3,"['reductions', 'cps', 'conflicts']",1,[np.int64(16)],2,1.0,0.5333819272347226,1.0,0.5943561137951638,1.0,max
lingeling,3,"['reductions', 'cps', 'conflicts']",2,"[np.int64(16), np.int64(99)]",2,1.0,0.4527275102507419,1.0,0.4479463802180554,1.0,max
lingeling,3,"['reductions', 'cps', 'conflicts']",1,[np.int64(71)],3,1.0,0.5693946065061932,1.0,0.5605710916569483,1.0,max
lingeling,3,"['reductions', 'cps', 'conflicts']",2,"[np.int64(71), np.int64(99)]",3,1.0,0.47377022640177424,1.0,0.54108536409962,1.0,max
lingeling,3,"['reductions', 'cps', 'conflicts']",1,[np.int64(16)],4,1.0,0.5512319132007815,1.0,0.5409364055226407,1.0,max
lingeling,3,"['reductions', 'cps', 'conflicts']",2,"[np.int64(16), np.int64(99)]",4,1.0,0.4587648331833006,1.0,0.42943277810756625,1.0,max
