system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target
lingeling,1,['reductions'],1,[np.int64(94)],0.45781774891774896,0.45781833819844986,1.0,mean
lingeling,1,['reductions'],2,"[np.int64(6), np.int64(62)]",0.31594675324675325,0.31594880013469456,1.0,mean
lingeling,1,['reductions'],3,"[np.int64(16), np.int64(62), np.int64(65)]",0.2549588744588745,0.2549603192270929,1.0,mean
lingeling,1,['reductions'],4,"[np.int64(9), np.int64(16), np.int64(26), np.int64(65)]",0.21577099567099567,0.21577294817609868,0.9375,mean
lingeling,1,['reductions'],5,"[np.int64(9), np.int64(16), np.int64(26), np.int64(30), np.int64(65)]",0.18978225108225108,0.18978474986647179,0.9259259259259259,mean
lingeling,1,['reductions'],6,"[np.int64(9), np.int64(16), np.int64(26), np.int64(30), np.int64(42), np.int64(65)]",0.16673030303030303,0.1667327742552907,0.9259259259259259,mean
lingeling,1,['reductions'],7,"[np.int64(9), np.int64(16), np.int64(38), np.int64(62), np.int64(65), np.int64(84), np.int64(88)]",0.14945021645021644,0.1494527229141306,0.9259259259259259,mean
lingeling,1,['reductions'],8,"[np.int64(9), np.int64(16), np.int64(26), np.int64(30), np.int64(42), np.int64(56), np.int64(65), np.int64(84)]",0.13427402597402596,0.134276225673201,0.90625,mean
lingeling,1,['reductions'],9,"[np.int64(7), np.int64(16), np.int64(38), np.int64(42), np.int64(62), np.int64(65), np.int64(84), np.int64(92), np.int64(94)]",0.12251731601731601,0.12251914281452415,0.9310344827586207,mean
lingeling,1,['reductions'],10,"[np.int64(7), np.int64(16), np.int64(38), np.int64(42), np.int64(62), np.int64(65), np.int64(84), np.int64(92), np.int64(94), np.int64(97)]",0.11187792207792209,0.11187908045032387,0.875,mean
lingeling,1,['reductions'],11,"[np.int64(7), np.int64(16), np.int64(38), np.int64(42), np.int64(62), np.int64(65), np.int64(84), np.int64(92), np.int64(94), np.int64(95), np.int64(97)]",0.10238441558441558,0.10238558608287991,0.875,mean
lingeling,1,['reductions'],12,"[np.int64(2), np.int64(7), np.int64(16), np.int64(38), np.int64(42), np.int64(62), np.int64(65), np.int64(84), np.int64(92), np.int64(94), np.int64(95), np.int64(97)]",0.09501558441558441,0.09501597157040824,0.875,mean
lingeling,1,['reductions'],13,"[np.int64(7), np.int64(10), np.int64(16), np.int64(21), np.int64(38), np.int64(61), np.int64(62), np.int64(65), np.int64(84), np.int64(92), np.int64(94), np.int64(95), np.int64(97)]",0.0865987012987013,0.08659946098720027,0.875,mean
lingeling,1,['reductions'],14,"[np.int64(7), np.int64(10), np.int64(16), np.int64(21), np.int64(38), np.int64(48), np.int64(61), np.int64(62), np.int64(65), np.int64(84), np.int64(92), np.int64(94), np.int64(95), np.int64(97)]",0.0804943722943723,0.08049493749137243,0.875,mean
lingeling,1,['reductions'],15,"[np.int64(7), np.int64(10), np.int64(16), np.int64(21), np.int64(38), np.int64(48), np.int64(61), np.int64(62), np.int64(65), np.int64(84), np.int64(89), np.int64(92), np.int64(94), np.int64(95), np.int64(97)]",0.07456753246753246,0.07456832442190221,0.875,mean
lingeling,1,['reductions'],16,"[np.int64(7), np.int64(10), np.int64(16), np.int64(21), np.int64(38), np.int64(45), np.int64(48), np.int64(61), np.int64(62), np.int64(65), np.int64(84), np.int64(89), np.int64(92), np.int64(94), np.int64(95), np.int64(97)]",0.06871818181818182,0.06871901500116423,0.8,mean
lingeling,1,['reductions'],17,"[np.int64(7), np.int64(10), np.int64(16), np.int64(21), np.int64(38), np.int64(45), np.int64(48), np.int64(54), np.int64(61), np.int64(62), np.int64(65), np.int64(84), np.int64(89), np.int64(92), np.int64(94), np.int64(95), np.int64(97)]",0.06333419913419915,0.06333443692751052,0.8,mean
lingeling,1,['reductions'],18,"[np.int64(2), np.int64(7), np.int64(16), np.int64(38), np.int64(42), np.int64(45), np.int64(47), np.int64(48), np.int64(53), np.int64(61), np.int64(62), np.int64(65), np.int64(84), np.int64(89), np.int64(92), np.int64(94), np.int64(95), np.int64(97)]",0.05853506493506494,0.058535253709687124,0.8,mean
lingeling,1,['reductions'],19,"[np.int64(2), np.int64(7), np.int64(16), np.int64(38), np.int64(42), np.int64(45), np.int64(47), np.int64(48), np.int64(53), np.int64(61), np.int64(62), np.int64(64), np.int64(65), np.int64(84), np.int64(89), np.int64(92), np.int64(94), np.int64(95), np.int64(97)]",0.05456709956709957,0.05456699974143315,0.8,mean
lingeling,1,['reductions'],20,"[np.int64(2), np.int64(7), np.int64(16), np.int64(38), np.int64(42), np.int64(45), np.int64(47), np.int64(48), np.int64(53), np.int64(61), np.int64(62), np.int64(64), np.int64(65), np.int64(84), np.int64(89), np.int64(92), np.int64(93), np.int64(94), np.int64(95), np.int64(97)]",0.050709956709956705,0.05071025043013839,0.7037037037037037,mean
lingeling,1,['reductions'],21,"[np.int64(7), np.int64(10), np.int64(16), np.int64(21), np.int64(38), np.int64(40), np.int64(45), np.int64(53), np.int64(61), np.int64(62), np.int64(64), np.int64(65), np.int64(69), np.int64(80), np.int64(84), np.int64(85), np.int64(88), np.int64(89), np.int64(94), np.int64(95), np.int64(97)]",0.04703549783549783,0.047035269837829595,0.8,mean
lingeling,1,['reductions'],22,"[np.int64(7), np.int64(10), np.int64(16), np.int64(21), np.int64(38), np.int64(40), np.int64(45), np.int64(53), np.int64(61), np.int64(62), np.int64(64), np.int64(65), np.int64(69), np.int64(80), np.int64(84), np.int64(85), np.int64(88), np.int64(89), np.int64(93), np.int64(94), np.int64(95), np.int64(97)]",0.04357229437229437,0.04357206637462613,0.7037037037037037,mean
lingeling,1,['reductions'],23,"[np.int64(7), np.int64(10), np.int64(16), np.int64(21), np.int64(38), np.int64(40), np.int64(45), np.int64(47), np.int64(53), np.int64(61), np.int64(62), np.int64(64), np.int64(65), np.int64(69), np.int64(80), np.int64(84), np.int64(85), np.int64(88), np.int64(89), np.int64(93), np.int64(94), np.int64(95), np.int64(97)]",0.040325541125541126,0.04032531312787289,0.7037037037037037,mean
lingeling,1,['reductions'],24,"[np.int64(7), np.int64(10), np.int64(16), np.int64(21), np.int64(25), np.int64(38), np.int64(40), np.int64(45), np.int64(47), np.int64(53), np.int64(56), np.int64(61), np.int64(62), np.int64(64), np.int64(65), np.int64(71), np.int64(80), np.int64(84), np.int64(85), np.int64(88), np.int64(89), np.int64(93), np.int64(94), np.int64(95)]",0.03709004329004329,0.03709016844251175,0.6,mean
lingeling,1,['reductions'],25,"[np.int64(7), np.int64(10), np.int64(16), np.int64(21), np.int64(25), np.int64(38), np.int64(40), np.int64(45), np.int64(47), np.int64(53), np.int64(56), np.int64(60), np.int64(61), np.int64(62), np.int64(64), np.int64(65), np.int64(71), np.int64(80), np.int64(84), np.int64(85), np.int64(88), np.int64(89), np.int64(93), np.int64(94), np.int64(95)]",0.03389480519480519,0.03389495096157998,0.6,mean
lingeling,1,['reductions'],26,"[np.int64(7), np.int64(10), np.int64(16), np.int64(21), np.int64(25), np.int64(32), np.int64(38), np.int64(40), np.int64(45), np.int64(47), np.int64(53), np.int64(56), np.int64(60), np.int64(61), np.int64(62), np.int64(64), np.int64(65), np.int64(71), np.int64(80), np.int64(84), np.int64(85), np.int64(88), np.int64(89), np.int64(93), np.int64(94), np.int64(95)]",0.031297402597402595,0.031297548364177384,0.5,mean
lingeling,1,['reductions'],27,"[np.int64(0), np.int64(7), np.int64(10), np.int64(16), np.int64(21), np.int64(25), np.int64(32), np.int64(38), np.int64(40), np.int64(45), np.int64(47), np.int64(53), np.int64(56), np.int64(60), np.int64(61), np.int64(62), np.int64(64), np.int64(65), np.int64(71), np.int64(80), np.int64(84), np.int64(85), np.int64(88), np.int64(89), np.int64(93), np.int64(94), np.int64(95)]",0.028823376623376622,0.028823831604746344,0.5,mean
