system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target
nodejs,1,['ops'],1,[np.int64(15)],10004842600.0,0.25078219255173256,1.0,both
nodejs,1,['ops'],2,"[np.int64(29), np.int64(43)]",9323589166.0,0.18587101013319154,0.9320447234715142,both
nodejs,1,['ops'],3,"[np.int64(12), np.int64(28), np.int64(33)]",9007158849.0,0.1635867194426596,0.9003990325699381,both
nodejs,1,['ops'],4,"[np.int64(3), np.int64(15), np.int64(27), np.int64(33)]",8585570500.0,0.13311761334486272,0.85829543996232,both
nodejs,1,['ops'],5,"[np.int64(3), np.int64(7), np.int64(19), np.int64(21), np.int64(33)]",8119622751.0,0.1358250922895408,0.8117346655259471,both
nodejs,1,['ops'],6,"[np.int64(19), np.int64(21), np.int64(24), np.int64(35), np.int64(39), np.int64(46)]",7732537030.0,0.13138469504443137,0.7730211130769786,both
nodejs,1,['ops'],7,"[np.int64(0), np.int64(3), np.int64(13), np.int64(15), np.int64(19), np.int64(21), np.int64(26)]",7040487330.0,0.07702377917861278,0.7039178240727062,both
nodejs,1,['ops'],8,"[np.int64(0), np.int64(3), np.int64(19), np.int64(21), np.int64(23), np.int64(24), np.int64(26), np.int64(35)]",6724595470.0,0.08262461928646399,0.6722980749800602,both
nodejs,1,['ops'],9,"[np.int64(0), np.int64(3), np.int64(19), np.int64(21), np.int64(23), np.int64(24), np.int64(26), np.int64(31), np.int64(35)]",6432303498.0,0.06750384597963688,0.6430678466076696,both
nodejs,1,['ops'],10,"[np.int64(0), np.int64(2), np.int64(3), np.int64(17), np.int64(19), np.int64(21), np.int64(26), np.int64(29), np.int64(32), np.int64(42)]",6193085443.0,0.0562116117541297,0.6191780821917808,both
nodejs,1,['ops'],11,"[np.int64(0), np.int64(2), np.int64(3), np.int64(9), np.int64(15), np.int64(18), np.int64(19), np.int64(21), np.int64(26), np.int64(32), np.int64(47)]",5884908143.0,0.0470300031215569,0.5884200480187668,both
nodejs,1,['ops'],12,"[np.int64(0), np.int64(9), np.int64(18), np.int64(19), np.int64(21), np.int64(23), np.int64(29), np.int64(30), np.int64(31), np.int64(35), np.int64(38), np.int64(46)]",5629818463.0,0.04238562599609632,0.5628512670581732,both
nodejs,1,['ops'],13,"[np.int64(0), np.int64(2), np.int64(9), np.int64(17), np.int64(19), np.int64(20), np.int64(21), np.int64(28), np.int64(29), np.int64(31), np.int64(34), np.int64(36), np.int64(46)]",5375814127.0,0.04216132622037706,0.5374987415730264,both
nodejs,1,['ops'],14,"[np.int64(0), np.int64(2), np.int64(6), np.int64(9), np.int64(18), np.int64(19), np.int64(21), np.int64(29), np.int64(31), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(46)]",5337727537.0,0.037677407708497264,0.5336879432624113,both
nodejs,1,['ops'],15,"[np.int64(0), np.int64(2), np.int64(6), np.int64(18), np.int64(19), np.int64(21), np.int64(29), np.int64(30), np.int64(31), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(42), np.int64(46)]",5031678903.0,0.03515843830843413,0.5030950318724822,both
nodejs,1,['ops'],16,"[np.int64(0), np.int64(2), np.int64(6), np.int64(18), np.int64(19), np.int64(21), np.int64(24), np.int64(29), np.int64(30), np.int64(31), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(42), np.int64(46)]",4941640589.0,0.03317408237735089,0.4941287699996923,both
nodejs,1,['ops'],17,"[np.int64(0), np.int64(6), np.int64(9), np.int64(18), np.int64(19), np.int64(21), np.int64(23), np.int64(24), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(46)]",4756584495.0,0.03026878820957075,0.4755954594882871,both
nodejs,1,['ops'],18,"[np.int64(0), np.int64(2), np.int64(6), np.int64(18), np.int64(19), np.int64(21), np.int64(24), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(42), np.int64(46), np.int64(48)]",4615536542.0,0.027785438693976865,0.4614788982920757,both
nodejs,1,['ops'],19,"[np.int64(0), np.int64(9), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(24), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(44), np.int64(46), np.int64(48)]",4266481140.0,0.024916377875738926,0.42655572806278846,both
nodejs,1,['ops'],20,"[np.int64(0), np.int64(8), np.int64(9), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(24), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(44), np.int64(46), np.int64(48)]",4127430851.0,0.02231233029723459,0.41272863555228523,both
nodejs,1,['ops'],21,"[np.int64(0), np.int64(6), np.int64(8), np.int64(9), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(24), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(44), np.int64(46), np.int64(48)]",4104409110.0,0.02118630053469064,0.41040625532357766,both
nodejs,1,['ops'],22,"[np.int64(0), np.int64(6), np.int64(8), np.int64(9), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(24), np.int64(26), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(44), np.int64(46), np.int64(48)]",3747383259.0,0.01984763351857901,0.37468354430379747,both
