system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target
nodejs,1,['ops'],1,[np.int64(0)],1.0,0.2512254453565835,1.0,max
nodejs,1,['ops'],2,"[np.int64(29), np.int64(43)]",0.932,0.18587101013319154,0.9320447234715142,max
nodejs,1,['ops'],3,"[np.int64(12), np.int64(28), np.int64(33)]",0.9004,0.1635867194426596,0.9003990325699381,max
nodejs,1,['ops'],4,"[np.int64(3), np.int64(17), np.int64(27), np.int64(33)]",0.8583,0.14288473626326822,0.85829543996232,max
nodejs,1,['ops'],5,"[np.int64(3), np.int64(7), np.int64(19), np.int64(21), np.int64(33)]",0.8117,0.1358250922895408,0.8117346655259471,max
nodejs,1,['ops'],6,"[np.int64(19), np.int64(21), np.int64(24), np.int64(35), np.int64(39), np.int64(46)]",0.773,0.13138469504443137,0.7730211130769786,max
nodejs,1,['ops'],7,"[np.int64(0), np.int64(3), np.int64(15), np.int64(19), np.int64(21), np.int64(24), np.int64(26)]",0.7039,0.08437087585385665,0.7039178240727062,max
nodejs,1,['ops'],8,"[np.int64(0), np.int64(3), np.int64(19), np.int64(21), np.int64(23), np.int64(26), np.int64(33), np.int64(35)]",0.6723,0.08409510894401391,0.6722980749800602,max
nodejs,1,['ops'],9,"[np.int64(0), np.int64(3), np.int64(19), np.int64(21), np.int64(23), np.int64(26), np.int64(33), np.int64(35), np.int64(44)]",0.6431,0.07003887187682056,0.6430678466076696,max
nodejs,1,['ops'],10,"[np.int64(0), np.int64(2), np.int64(3), np.int64(17), np.int64(19), np.int64(21), np.int64(26), np.int64(27), np.int64(32), np.int64(42)]",0.6192,0.05679550998269823,0.6191780821917808,max
nodejs,1,['ops'],11,"[np.int64(0), np.int64(2), np.int64(3), np.int64(18), np.int64(19), np.int64(21), np.int64(26), np.int64(32), np.int64(38), np.int64(42), np.int64(47)]",0.5884,0.049047013281954537,0.5884200480187668,max
nodejs,1,['ops'],12,"[np.int64(0), np.int64(9), np.int64(18), np.int64(19), np.int64(21), np.int64(23), np.int64(29), np.int64(30), np.int64(31), np.int64(35), np.int64(38), np.int64(46)]",0.5629,0.04238562599609632,0.5628512670581732,max
nodejs,1,['ops'],13,"[np.int64(0), np.int64(2), np.int64(9), np.int64(17), np.int64(19), np.int64(20), np.int64(21), np.int64(28), np.int64(29), np.int64(31), np.int64(34), np.int64(36), np.int64(46)]",0.5375,0.04216132622037706,0.5374987415730264,max
nodejs,1,['ops'],14,"[np.int64(0), np.int64(2), np.int64(6), np.int64(9), np.int64(17), np.int64(19), np.int64(20), np.int64(21), np.int64(28), np.int64(29), np.int64(31), np.int64(34), np.int64(36), np.int64(46)]",0.5337,0.03974356635589729,0.5336879432624113,max
nodejs,1,['ops'],15,"[np.int64(0), np.int64(2), np.int64(6), np.int64(18), np.int64(19), np.int64(21), np.int64(29), np.int64(30), np.int64(31), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(42), np.int64(46)]",0.5031,0.03515843830843413,0.5030950318724822,max
nodejs,1,['ops'],16,"[np.int64(0), np.int64(2), np.int64(6), np.int64(18), np.int64(19), np.int64(21), np.int64(24), np.int64(29), np.int64(30), np.int64(31), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(42), np.int64(46)]",0.4941,0.03317408237735089,0.4941287699996923,max
nodejs,1,['ops'],17,"[np.int64(0), np.int64(6), np.int64(9), np.int64(18), np.int64(19), np.int64(21), np.int64(23), np.int64(24), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(46)]",0.4756,0.03026878820957075,0.4755954594882871,max
nodejs,1,['ops'],18,"[np.int64(0), np.int64(6), np.int64(18), np.int64(19), np.int64(21), np.int64(23), np.int64(24), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(42), np.int64(46), np.int64(48)]",0.4615,0.02815148167960859,0.4614788982920757,max
nodejs,1,['ops'],19,"[np.int64(0), np.int64(9), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(24), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(44), np.int64(46), np.int64(48)]",0.4266,0.024916377875738926,0.42655572806278846,max
nodejs,1,['ops'],20,"[np.int64(0), np.int64(8), np.int64(9), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(24), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(44), np.int64(46), np.int64(48)]",0.4127,0.02231233029723459,0.41272863555228523,max
nodejs,1,['ops'],21,"[np.int64(0), np.int64(6), np.int64(8), np.int64(9), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(24), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(44), np.int64(46), np.int64(48)]",0.4104,0.02118630053469064,0.41040625532357766,max
nodejs,1,['ops'],22,"[np.int64(0), np.int64(6), np.int64(8), np.int64(9), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(24), np.int64(26), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(44), np.int64(46), np.int64(48)]",0.3747,0.01984763351857901,0.37468354430379747,max
nodejs,1,['ops'],23,"[np.int64(0), np.int64(6), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(24), np.int64(26), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(42), np.int64(43), np.int64(44), np.int64(46), np.int64(48)]",0.3481,0.017929153408353528,0.34812907447525965,max
nodejs,1,['ops'],24,"[np.int64(0), np.int64(6), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(24), np.int64(26), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(42), np.int64(43), np.int64(44), np.int64(46), np.int64(48)]",0.3403,0.015837290070034434,0.3402985074626866,max
nodejs,1,['ops'],25,"[np.int64(0), np.int64(6), np.int64(15), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(24), np.int64(26), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(42), np.int64(43), np.int64(44), np.int64(46), np.int64(48)]",0.3054,0.013814226171503526,0.30540013788404224,max
nodejs,1,['ops'],26,"[np.int64(0), np.int64(5), np.int64(6), np.int64(15), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(26), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(42), np.int64(44), np.int64(46), np.int64(48)]",0.2958,0.014456239825359572,0.29577464788732394,max
nodejs,1,['ops'],27,"[np.int64(0), np.int64(5), np.int64(6), np.int64(15), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(26), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(42), np.int64(44), np.int64(46), np.int64(48), np.int64(49)]",0.2832,0.013189469278366447,0.2831664915112988,max
nodejs,1,['ops'],28,"[np.int64(0), np.int64(5), np.int64(6), np.int64(15), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(26), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(42), np.int64(44), np.int64(46), np.int64(47), np.int64(48), np.int64(49)]",0.2647,0.012038287072140202,0.2646730626304929,max
nodejs,1,['ops'],29,"[np.int64(0), np.int64(5), np.int64(6), np.int64(15), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(26), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(42), np.int64(44), np.int64(46), np.int64(47), np.int64(48), np.int64(49)]",0.2384,0.011717800570979169,0.23835724177524426,max
