system,num_performances,performances,num_configs,selected_configs,fold,train_cost,train_wcp_mean,train_wcp_max,test_wcp_mean,test_wcp_max,optimization_target
nodejs,1,['ops'],1,[np.int64(15)],1,1.0,0.25123807897105493,1.0,0.24941547715798792,1.0,max
nodejs,1,['ops'],2,"[np.int64(23), np.int64(33)]",1,0.92896,0.18537128554605004,0.9289571714782059,0.17319113035322067,0.9461756373937678,max
nodejs,1,['ops'],3,"[np.int64(20), np.int64(33), np.int64(47)]",1,0.87746,0.1686320104797225,0.877459733838314,0.17229981109264147,0.9173271691963842,max
nodejs,1,['ops'],4,"[np.int64(0), np.int64(3), np.int64(15), np.int64(21)]",1,0.84461,0.11460534658195025,0.8446071534978893,0.11572429539688076,0.9427375128310614,max
nodejs,1,['ops'],5,"[np.int64(3), np.int64(15), np.int64(19), np.int64(21), np.int64(41)]",1,0.78306,0.1201488848135607,0.7830557710996666,0.12552528695414997,0.8623578887453393,max
nodejs,1,['ops'],6,"[np.int64(3), np.int64(15), np.int64(19), np.int64(21), np.int64(24), np.int64(44)]",1,0.72827,0.09577914408540035,0.7282681424838284,0.09637469085146814,0.7807315677525862,max
nodejs,1,['ops'],7,"[np.int64(0), np.int64(7), np.int64(11), np.int64(19), np.int64(21), np.int64(35), np.int64(46)]",1,0.6723,0.08027843309726786,0.6722980749800602,0.08905141159506334,0.8172319735319642,max
nodejs,1,['ops'],8,"[np.int64(0), np.int64(3), np.int64(19), np.int64(21), np.int64(26), np.int64(31), np.int64(35), np.int64(40)]",1,0.64307,0.08227886171217273,0.6430678466076696,0.08338614343989681,0.8663133889440497,max
nodejs,1,['ops'],9,"[np.int64(0), np.int64(3), np.int64(9), np.int64(19), np.int64(21), np.int64(26), np.int64(32), np.int64(35), np.int64(42)]",1,0.61318,0.062008550036171166,0.6131848737772243,0.06785043093304947,0.8536830642979798,max
nodejs,1,['ops'],10,"[np.int64(0), np.int64(3), np.int64(19), np.int64(21), np.int64(28), np.int64(32), np.int64(39), np.int64(41), np.int64(42), np.int64(47)]",1,0.59005,0.06179381430731608,0.590054017846239,0.06461099733950466,0.7811756879126015,max
nodejs,1,['ops'],11,"[np.int64(0), np.int64(9), np.int64(11), np.int64(19), np.int64(21), np.int64(28), np.int64(29), np.int64(31), np.int64(35), np.int64(38), np.int64(46)]",1,0.56386,0.047805775774267395,0.5638629283489096,0.061564728396133646,0.7815755456328591,max
nodejs,1,['ops'],12,"[np.int64(0), np.int64(7), np.int64(9), np.int64(19), np.int64(21), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(35), np.int64(36), np.int64(46)]",1,0.55342,0.04483923757903319,0.5534228114021393,0.05359423524594599,0.7815755456328591,max
nodejs,1,['ops'],13,"[np.int64(0), np.int64(6), np.int64(9), np.int64(19), np.int64(21), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(34), np.int64(35), np.int64(36), np.int64(46)]",1,0.53723,0.04431313277832149,0.5372340425531915,0.05095603680504893,0.7815755456328591,max
nodejs,1,['ops'],14,"[np.int64(0), np.int64(6), np.int64(19), np.int64(21), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(42), np.int64(46)]",1,0.48765,0.039331616143330396,0.4876543209876543,0.04698565058185952,0.7815755456328591,max
nodejs,1,['ops'],15,"[np.int64(0), np.int64(6), np.int64(15), np.int64(18), np.int64(19), np.int64(21), np.int64(29), np.int64(30), np.int64(31), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(42), np.int64(46)]",1,0.46148,0.032786775158571944,0.4614788982920757,0.04104444120609776,0.6989795918367347,max
nodejs,1,['ops'],16,"[np.int64(0), np.int64(15), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(26), np.int64(29), np.int64(30), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(42), np.int64(44), np.int64(46)]",1,0.43794,0.03110445274230866,0.4379365552780623,0.04167016878419061,0.6862244897959183,max
nodejs,1,['ops'],17,"[np.int64(0), np.int64(15), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(26), np.int64(28), np.int64(29), np.int64(30), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(42), np.int64(44), np.int64(46)]",1,0.41273,0.028770023123430768,0.41272863555228523,0.03901797914805221,0.6862244897959183,max
