system,num_performances,performances,num_configs,selected_configs,fold,train_cost,train_wcp_mean,train_wcp_max,test_wcp_mean,test_wcp_max,optimization_target
poppler,1,['size'],1,[np.int64(6)],1,1.0,0.6809806561692591,1.0,0.720836858583937,1.0,max
poppler,1,['size'],2,"[np.int64(0), np.int64(12)]",1,0.56599,0.04063516866924734,0.565989847715736,0.0444578985873227,0.7439311710993636,max
poppler,1,['size'],3,"[np.int64(2), np.int64(8), np.int64(12)]",1,0.48999,0.008413205434451832,0.4899927255009329,0.015609018838894005,0.935064935064935,max
poppler,1,['size'],4,"[np.int64(1), np.int64(4), np.int64(8), np.int64(13)]",1,0.17766,0.0015947788632169192,0.17766497461928935,0.0048302977833935565,0.3573487031700288,max
poppler,1,['size'],5,"[np.int64(1), np.int64(5), np.int64(6), np.int64(10), np.int64(15)]",1,0.06667,0.0007831694770339398,0.06666666666666667,0.0020048312304943947,0.21428571428571427,max
poppler,1,['size'],6,"[np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(10), np.int64(15)]",1,0.02941,0.0004267204324122547,0.029411764705882353,0.0011396488160544717,0.21428571428571427,max
poppler,1,['size'],7,"[np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(10), np.int64(15)]",1,0.02805,0.00031651223600733447,0.028045095682120928,0.000962299251145225,0.21428571428571427,max
poppler,1,['size'],8,"[np.int64(0), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(10), np.int64(13)]",1,0.00802,9.933675563872153e-05,0.008021390374331552,0.0009570112348179896,0.21428571428571427,max
poppler,1,['size'],9,"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(13)]",1,0.00579,5.3244251859194836e-05,0.005791505791505791,0.00011069748287736024,0.021739130434782608,max
poppler,1,['size'],10,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(13)]",1,0.00397,3.9683531487475896e-05,0.003972396195778241,0.00010532442513834599,0.021739130434782608,max
poppler,1,['size'],11,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(13)]",1,0.00391,2.426391428707022e-05,0.003907651820248016,0.0001007513648080638,0.021739130434782608,max
