system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target
poppler,1,['size'],1,[np.int64(10)],0.2425181905678537,0.24252073650564343,1.0,mean
poppler,1,['size'],2,"[np.int64(7), np.int64(10)]",0.020117805582290663,0.020120358391894282,0.7431693989071039,mean
poppler,1,['size'],3,"[np.int64(0), np.int64(7), np.int64(10)]",0.0036522617901828683,0.003655002744354117,0.7431693989071039,mean
poppler,1,['size'],4,"[np.int64(0), np.int64(7), np.int64(9), np.int64(13)]",0.001326371511068335,0.001328214905412657,0.3005181347150259,mean
poppler,1,['size'],5,"[np.int64(0), np.int64(5), np.int64(7), np.int64(9), np.int64(13)]",0.0007080846968238691,0.0007099808700697788,0.12224507787246547,mean
poppler,1,['size'],6,"[np.int64(0), np.int64(2), np.int64(5), np.int64(7), np.int64(9), np.int64(13)]",0.00045370548604427334,0.0004555951046967991,0.12224507787246547,mean
poppler,1,['size'],7,"[np.int64(0), np.int64(2), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",0.00022415784408084697,0.00022562736989143245,0.07528957528957529,mean
poppler,1,['size'],8,"[np.int64(0), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",7.362848893166506e-05,7.51783469227983e-05,0.008021390374331552,mean
poppler,1,['size'],9,"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",4.8893166506256016e-05,5.005305396415247e-05,0.005791505791505791,mean
poppler,1,['size'],10,"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(15)]",3.29162656400385e-05,3.367953742522103e-05,0.005791505791505791,mean
poppler,2,"['size', 'time']",1,[np.int64(2)],0.3691219441770933,0.3691206803852526,1.0,mean
poppler,2,"['size', 'time']",2,"[np.int64(3), np.int64(15)]",0.3107938402309913,0.3107941852039298,1.0,mean
poppler,2,"['size', 'time']",3,"[np.int64(1), np.int64(2), np.int64(13)]",0.28937795957651585,0.2893770007629405,1.0,mean
poppler,2,"['size', 'time']",4,"[np.int64(1), np.int64(2), np.int64(11), np.int64(15)]",0.2782759384023099,0.2782754973540933,0.9997167941093175,mean
poppler,2,"['size', 'time']",5,"[np.int64(1), np.int64(2), np.int64(6), np.int64(11), np.int64(15)]",0.27050009624639076,0.2705001484242407,0.9997167941093175,mean
poppler,2,"['size', 'time']",6,"[np.int64(1), np.int64(2), np.int64(7), np.int64(10), np.int64(13), np.int64(14)]",0.26484600577478346,0.2648456654912423,0.9973086124401914,mean
poppler,2,"['size', 'time']",7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(10), np.int64(13), np.int64(14)]",0.259865062560154,0.259865061682814,0.9973086124401914,mean
poppler,2,"['size', 'time']",8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(9), np.int64(10), np.int64(13), np.int64(14)]",0.25703946102021175,0.2570396580285453,0.996961175616836,mean
poppler,2,"['size', 'time']",9,"[np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(13), np.int64(14)]",0.2547230991337825,0.25472381223687823,0.9961750578188934,mean
poppler,2,"['size', 'time']",10,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(13), np.int64(14)]",0.25284215591915304,0.25284331907046637,0.9961750578188934,mean
poppler,2,"['size', 'time']",11,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(13), np.int64(14)]",0.2515346487006737,0.2515360277610246,0.9961750578188934,mean
poppler,2,"['size', 'time']",12,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14)]",0.2503156881616939,0.25031738472489934,0.9961750578188934,mean
poppler,2,"['size', 'time']",13,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15)]",0.24933657362848893,0.24933817223592183,0.9961750578188934,mean
poppler,2,"['size', 'time']",14,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15)]",0.24851328200192493,0.2485148661762662,0.9961750578188934,mean
poppler,2,"['size', 'time']",15,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15)]",0.2480255052935515,0.2480270064632715,0.9961750578188934,mean
poppler,2,"['size', 'time']",16,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15)]",0.24761809432146298,0.24761967458315426,0.9961750578188934,mean
