system,num_performances,performances,num_configs,selected_configs,fold,train_cost,train_wcp_mean,train_wcp_max,test_wcp_mean,test_wcp_max,optimization_target
poppler,1,['size'],1,[np.int64(10)],1,0.2511388960205391,0.25113888226348663,1.0,0.21669944594656704,1.0,mean
poppler,1,['size'],2,"[np.int64(7), np.int64(10)]",1,0.018798279845956355,0.018798310622764124,0.708029197080292,0.02408141690017271,0.7431693989071039,mean
poppler,1,['size'],3,"[np.int64(0), np.int64(7), np.int64(10)]",1,0.0030037483953786904,0.003003771478399033,0.708029197080292,0.00560619180658108,0.7431693989071039,mean
poppler,1,['size'],4,"[np.int64(0), np.int64(7), np.int64(10), np.int64(12)]",1,0.0013189216944801026,0.0013188977767321463,0.3005181347150259,0.0016616356200384152,0.21428571428571427,mean
poppler,1,['size'],5,"[np.int64(0), np.int64(5), np.int64(7), np.int64(10), np.int64(12)]",1,0.0007012580231065469,0.0007012322349509415,0.07528957528957529,0.0010982858619686087,0.21428571428571427,mean
poppler,1,['size'],6,"[np.int64(0), np.int64(3), np.int64(5), np.int64(7), np.int64(10), np.int64(12)]",1,0.00039519897304236205,0.00039515083472708393,0.04507628294036061,0.0010486768922090051,0.21428571428571427,mean
poppler,1,['size'],7,"[np.int64(0), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(10), np.int64(15)]",1,0.00021810012836970475,0.00021816334521002214,0.028045095682120928,0.0009123492427775916,0.21428571428571427,mean
poppler,1,['size'],8,"[np.int64(0), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(13)]",1,8.582798459563543e-05,8.589949742169109e-05,0.008021390374331552,0.00011326326416514565,0.021739130434782608,mean
poppler,1,['size'],9,"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(13)]",1,5.317073170731708e-05,5.3244251859194836e-05,0.005791505791505791,0.00011069748287736024,0.021739130434782608,mean
poppler,1,['size'],10,"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(13)]",1,3.783055198973042e-05,3.782463465878917e-05,0.005791505791505791,0.00010612442254707805,0.021739130434782608,mean
poppler,1,['size'],11,"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(13)]",1,2.4274711168164314e-05,2.4271259907089857e-05,0.005791505791505791,0.00010332744611591623,0.021739130434782608,mean
poppler,1,['size'],12,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(13)]",1,1.2105263157894737e-05,1.2086268645745073e-05,0.0010860121633362294,9.887486119868673e-05,0.021739130434782608,mean
poppler,1,['size'],13,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(13), np.int64(15)]",1,4.094993581514762e-06,4.101599147037479e-06,0.00033413525795241913,9.034879078112895e-06,0.0005043429532081815,mean
poppler,1,['size'],1,[np.int64(10)],2,0.24260785622593067,0.2426078496531658,1.0,0.2422597321136436,1.0,mean
poppler,1,['size'],2,"[np.int64(7), np.int64(10)]",2,0.021141065468549422,0.021141086062834456,0.7431693989071039,0.017062101254731215,0.5625300517967822,mean
poppler,1,['size'],3,"[np.int64(0), np.int64(7), np.int64(9)]",2,0.004533697047496791,0.004533860029914503,0.7431693989071039,0.001667366117577583,0.14296067252874675,mean
poppler,1,['size'],4,"[np.int64(0), np.int64(7), np.int64(9), np.int64(13)]",2,0.0014389987163029524,0.00143912848662373,0.3005181347150259,0.0009959007524764038,0.12224507787246547,mean
poppler,1,['size'],5,"[np.int64(0), np.int64(5), np.int64(6), np.int64(9), np.int64(13)]",2,0.0006514377406931965,0.0006515727556268314,0.06233238873869472,0.0015544868503273937,0.213768115942029,mean
poppler,1,['size'],6,"[np.int64(0), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(13)]",2,0.00038098844672657253,0.00038113199851449856,0.06233238873869472,0.0007158150430381713,0.12224507787246547,mean
poppler,1,['size'],7,"[np.int64(0), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(13)]",2,0.0002044287548138639,0.00020453591875529918,0.06233238873869472,0.0006065889160892208,0.12224507787246547,mean
poppler,1,['size'],8,"[np.int64(0), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",2,6.543003851091142e-05,6.552487761512312e-05,0.008021390374331552,0.00010410162611771744,0.007246376811594203,mean
poppler,1,['size'],9,"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",2,4.182284980744544e-05,4.192362195266343e-05,0.005791505791505791,7.441008295242156e-05,0.004944375772558714,mean
poppler,1,['size'],10,"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(15)]",2,2.8600770218228498e-05,2.8604296157710165e-05,0.005791505791505791,4.888574106903242e-05,0.004944375772558714,mean
poppler,1,['size'],11,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(15)]",2,1.840821566110398e-05,1.8393697479381293e-05,0.0034602076124567475,3.3475203333284076e-05,0.003907651820248016,mean
poppler,1,['size'],12,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(15)]",2,1.0821566110397946e-05,1.0816406613581731e-05,0.0008657323788304264,1.7815329069543825e-05,0.0015460430959512996,mean
poppler,1,['size'],13,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(13), np.int64(15)]",2,5.89216944801027e-06,5.888101202184164e-06,0.0005043429532081815,3.6822440744234086e-06,0.00033413525795241913,mean
poppler,1,['size'],1,[np.int64(10)],3,0.24776469833119383,0.24776458691263453,1.0,0.2268093539400817,1.0,mean
poppler,1,['size'],2,"[np.int64(4), np.int64(10)]",3,0.01925379974326059,0.019253748153753393,0.7448253022023514,0.023397437104975192,0.708029197080292,mean
poppler,1,['size'],3,"[np.int64(0), np.int64(7), np.int64(10)]",3,0.002763658536585366,0.002763670851506118,0.7431693989071039,0.0063255702233102375,0.708029197080292,mean
poppler,1,['size'],4,"[np.int64(0), np.int64(7), np.int64(9), np.int64(13)]",3,0.0011814120667522465,0.0011816122369330431,0.12224507787246547,0.001767459054434269,0.3005181347150259,mean
poppler,1,['size'],5,"[np.int64(0), np.int64(4), np.int64(7), np.int64(9), np.int64(13)]",3,0.0007315789473684211,0.0007317386133738717,0.12224507787246547,0.0014814138938924735,0.3005181347150259,mean
poppler,1,['size'],6,"[np.int64(0), np.int64(4), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",3,0.0004160718870346598,0.0004161866500187347,0.09350649350649351,0.0014764991817047162,0.3005181347150259,mean
poppler,1,['size'],7,"[np.int64(0), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",3,0.0001957124518613607,0.00019582706146604613,0.02409660432177229,0.00032066020203153946,0.0392156862745098,mean
poppler,1,['size'],8,"[np.int64(0), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",3,7.360718870346598e-05,7.372268644379751e-05,0.007407407407407408,7.953972966565071e-05,0.008021390374331552,mean
poppler,1,['size'],9,"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",3,5.1797175866495505e-05,5.191285023266955e-05,0.005791505791505791,4.4480818221172444e-05,0.004707499355725453,mean
poppler,1,['size'],10,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",3,3.653401797175866e-05,3.662415806870405e-05,0.003972396195778241,4.42850298135431e-05,0.004707499355725453,mean
poppler,1,['size'],11,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",3,2.3799743260590502e-05,2.389635402752359e-05,0.003972396195778241,4.404717157556008e-05,0.004707499355725453,mean
poppler,1,['size'],12,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(15)]",3,1.2772785622593068e-05,1.2796458325159056e-05,0.0015460430959512996,1.1882789518317913e-05,0.0004993757802746567,mean
poppler,1,['size'],13,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(13), np.int64(15)]",3,5.224646983311938e-06,5.254414198430431e-06,0.0005043429532081815,5.5808678279778585e-06,0.0003081664098613251,mean
poppler,1,['size'],1,[np.int64(10)],4,0.22858947435897436,0.2285895106667641,1.0,0.28447577957253856,1.0,mean
poppler,1,['size'],2,"[np.int64(7), np.int64(10)]",4,0.02038552564102564,0.020385578775490864,0.7431693989071039,0.01932162519032928,0.4792552639767659,mean
poppler,1,['size'],3,"[np.int64(0), np.int64(7), np.int64(10)]",4,0.0042097692307692305,0.0042098485310429635,0.7431693989071039,0.001984038599113576,0.07528957528957529,mean
poppler,1,['size'],4,"[np.int64(0), np.int64(7), np.int64(9), np.int64(12)]",4,0.0011843846153846154,0.0011844704153688788,0.3005181347150259,0.0021130243013574392,0.18565084742082233,mean
poppler,1,['size'],5,"[np.int64(0), np.int64(5), np.int64(7), np.int64(9), np.int64(12)]",4,0.0004807948717948718,0.00048086941412277734,0.09034689341965407,0.001808691130834233,0.18565084742082233,mean
poppler,1,['size'],6,"[np.int64(0), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",4,0.000268525641025641,0.0002686553675208076,0.0392156862745098,0.0010850422883853814,0.07528957528957529,mean
poppler,1,['size'],7,"[np.int64(0), np.int64(2), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",4,9.905128205128205e-05,9.918688823396286e-05,0.013071895424836602,0.0006064133764274413,0.07528957528957529,mean
poppler,1,['size'],8,"[np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",4,6.20897435897436e-05,6.220948933799992e-05,0.008021390374331552,0.00031295522417693945,0.02736842105263158,mean
poppler,1,['size'],9,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(15)]",4,4.0435897435897434e-05,4.05621219890312e-05,0.004707499355725453,0.00027850886968507576,0.02736842105263158,mean
poppler,1,['size'],10,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(15)]",4,2.003846153846154e-05,2.0040288813837234e-05,0.003907651820248016,0.00027462835305457967,0.02736842105263158,mean
poppler,1,['size'],11,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(13), np.int64(15)]",4,1.2307692307692308e-05,1.2333936239502695e-05,0.003907651820248016,0.0002688260480112242,0.02736842105263158,mean
poppler,1,['size'],12,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(13), np.int64(15)]",4,6.384615384615384e-06,6.409190869135914e-06,0.0005043429532081815,0.00020231981228386675,0.02736842105263158,mean
poppler,2,"['size', 'time']",1,[np.int64(2)],1,0.35079889602053915,0.35079887255425113,1.0,0.42401563538659914,1.0,mean
poppler,2,"['size', 'time']",2,"[np.int64(3), np.int64(15)]",1,0.29287275994865214,0.2928728436920955,1.0,0.364489281502849,1.0,mean
poppler,2,"['size', 'time']",3,"[np.int64(1), np.int64(2), np.int64(15)]",1,0.2711527727856226,0.27115280533289077,0.9999890978943673,0.3482903525322772,0.9999895754062985,mean
poppler,2,"['size', 'time']",4,"[np.int64(1), np.int64(2), np.int64(11), np.int64(15)]",1,0.2583865596919127,0.25838658518977514,0.9997167941093175,0.3378657380310311,0.9985707031967417,mean
poppler,2,"['size', 'time']",5,"[np.int64(1), np.int64(2), np.int64(3), np.int64(11), np.int64(15)]",1,0.2513073299101412,0.2513072732129515,0.9997167941093175,0.3324089392745285,0.9985598997439582,mean
poppler,2,"['size', 'time']",6,"[np.int64(1), np.int64(2), np.int64(3), np.int64(11), np.int64(14), np.int64(15)]",1,0.24592213093709883,0.24592213513650102,0.9981867633726201,0.3306934513778965,0.997598940221891,mean
poppler,2,"['size', 'time']",7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(11), np.int64(14), np.int64(15)]",1,0.2406840564826701,0.24068402679154038,0.9981867633726201,0.321917429069174,0.9961750578188934,mean
poppler,2,"['size', 'time']",8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(9), np.int64(11), np.int64(14), np.int64(15)]",1,0.23807182284980744,0.23807183072299085,0.9968830662835435,0.32096092862211534,0.9961750578188934,mean
poppler,2,"['size', 'time']",9,"[np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(9), np.int64(11), np.int64(13), np.int64(14), np.int64(15)]",1,0.23605842105263156,0.23605845431415332,0.9953875911322719,0.31303168790298563,0.9961750578188934,mean
poppler,2,"['size', 'time']",10,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(9), np.int64(11), np.int64(13), np.int64(14), np.int64(15)]",1,0.2345917329910141,0.23459178908430542,0.9953875911322719,0.3099796371200151,0.9961750578188934,mean
poppler,2,"['size', 'time']",11,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(14), np.int64(15)]",1,0.23335413350449294,0.23335412423646013,0.9953875911322719,0.3099644614635611,0.9961750578188934,mean
poppler,2,"['size', 'time']",12,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(14), np.int64(15)]",1,0.23228319640564826,0.23228317109370586,0.9953875911322719,0.30854595308450405,0.9961750578188934,mean
poppler,2,"['size', 'time']",13,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15)]",1,0.23142960205391527,0.23142966062749518,0.9946808510638298,0.30796546490670135,0.9961750578188934,mean
poppler,2,"['size', 'time']",14,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15)]",1,0.23058671373555842,0.23058676422390748,0.9946808510638298,0.30623246207183963,0.9961750578188934,mean
poppler,2,"['size', 'time']",15,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15)]",1,0.22993616174582798,0.22993630968682705,0.9946808510638298,0.30623176146639397,0.9961750578188934,mean
poppler,2,"['size', 'time']",16,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15)]",1,0.22955750962772786,0.22955763325804046,0.9946808510638298,0.3017363291687837,0.9961750578188934,mean
poppler,2,"['size', 'time']",1,[np.int64(2)],2,0.3824204107830552,0.3824203424986787,1.0,0.3292728465915643,1.0,mean
poppler,2,"['size', 'time']",2,"[np.int64(2), np.int64(15)]",2,0.3245018998716303,0.32450189988152506,1.0,0.2771153943731378,0.9999890978943673,mean
poppler,2,"['size', 'time']",3,"[np.int64(1), np.int64(2), np.int64(13)]",2,0.30194283697047497,0.30194276083110455,1.0,0.2517280504048641,0.9997609528912336,mean
poppler,2,"['size', 'time']",4,"[np.int64(1), np.int64(2), np.int64(10), np.int64(13)]",2,0.28992207958921695,0.28992197743702997,0.9988787503866378,0.24551620104456606,0.9994084371649351,mean
poppler,2,"['size', 'time']",5,"[np.int64(1), np.int64(2), np.int64(7), np.int64(10), np.int64(13)]",2,0.2806708087291399,0.2806706794707489,0.9988787503866378,0.24109250679038668,0.9994084371649351,mean
poppler,2,"['size', 'time']",6,"[np.int64(1), np.int64(2), np.int64(7), np.int64(10), np.int64(13), np.int64(14)]",2,0.27469644415917843,0.2746963391913498,0.9973086124401914,0.2353315315974587,0.9915663792286555,mean
poppler,2,"['size', 'time']",7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(10), np.int64(13), np.int64(14)]",2,0.27073120667522466,0.27073104896573025,0.9973086124401914,0.22730889209284572,0.9915663792286555,mean
poppler,2,"['size', 'time']",8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(10), np.int64(11), np.int64(13), np.int64(14)]",2,0.2682524261874198,0.26825229804241085,0.9961750578188934,0.22412373454780904,0.9907135411731263,mean
poppler,2,"['size', 'time']",9,"[np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(13), np.int64(14)]",2,0.2660416174582798,0.26604154586684836,0.9961750578188934,0.22081414109169864,0.9907135411731263,mean
poppler,2,"['size', 'time']",10,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(13), np.int64(14)]",2,0.2640436456996149,0.2640435906336217,0.9961750578188934,0.21928558234855094,0.9907135411731263,mean
poppler,2,"['size', 'time']",11,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(13), np.int64(14)]",2,0.26283055198973043,0.262830511952523,0.9961750578188934,0.2183023772331767,0.9907135411731263,mean
poppler,2,"['size', 'time']",12,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(13), np.int64(14), np.int64(15)]",2,0.26175098844672656,0.2617509352393347,0.9961750578188934,0.21612729889956211,0.9900502226854924,mean
poppler,2,"['size', 'time']",13,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(13), np.int64(14), np.int64(15)]",2,0.2609213863928113,0.2609213497994569,0.9961750578188934,0.21521291671922027,0.9900502226854924,mean
poppler,2,"['size', 'time']",14,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15)]",2,0.26040577663671377,0.26040576828545814,0.9961750578188934,0.21288789408757194,0.9900502226854924,mean
poppler,2,"['size', 'time']",15,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15)]",2,0.26004142490372273,0.2600414803781589,0.9961750578188934,0.21202979423366639,0.9900502226854924,mean
poppler,2,"['size', 'time']",16,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15)]",2,0.2597403080872914,0.2597403140832398,0.9961750578188934,0.21130437392712878,0.9900502226854924,mean
poppler,2,"['size', 'time']",1,[np.int64(3)],3,0.3694398973042362,0.3694398561675347,1.0,0.38112629786942476,1.0,mean
poppler,2,"['size', 'time']",2,"[np.int64(3), np.int64(15)]",3,0.3087900128369705,0.3087900293768924,1.0,0.3167989443933996,1.0,mean
poppler,2,"['size', 'time']",3,"[np.int64(1), np.int64(2), np.int64(13)]",3,0.28832540436456994,0.2883254299355024,1.0,0.2925276687420721,0.9999453008574395,mean
poppler,2,"['size', 'time']",4,"[np.int64(1), np.int64(2), np.int64(10), np.int64(13)]",3,0.2772727086007702,0.27727272817683457,0.9994084371649351,0.2834152978664592,0.9988787503866378,mean
