system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target,input_to_config_map
sqlite,1,['q8'],1,[30],833058859.0,0.040876000422448794,0.08333333333333334,both,"{'0.01': 30, '0.02': 30, '0.03': 30, '0.04': 30, '0.05': 30, '0.06': 30, '0.07': 30, '0.08': 30, '0.09': 30, '0.1': 30, '0.11': 30, '0.12': 30, '0.13': 30, '0.14': 30, '0.15': 30, '0.16': 30, '0.17': 30, '0.18': 30, '0.19': 30, '0.2': 30, '0.21': 30, '0.22': 30, '0.23': 30, '0.24': 30, '0.25': 30, '0.26': 30, '0.27': 30, '0.28': 30, '0.29': 30, '0.3': 30, '0.31': 30, '0.32': 30, '0.33': 30, '0.34': 30, '0.35': 30, '0.36': 30, '0.37': 30, '0.38': 30, '0.39': 30, '0.4': 30, '0.41': 30, '0.42': 30, '0.43': 30, '0.44': 30, '0.45': 30, '0.46': 30, '0.47': 30, '0.48': 30, '0.49': 30, '0.5': 30, '0.51': 30, '0.52': 30, '0.53': 30, '0.54': 30, '0.55': 30, '0.56': 30, '0.57': 30, '0.58': 30, '0.59': 30, '0.6': 30, '0.61': 30, '0.62': 30, '0.63': 30, '0.64': 30, '0.65': 30, '0.66': 30, '0.67': 30, '0.68': 30, '0.69': 30, '0.7': 30, '0.71': 30, '0.72': 30, '0.73': 30, '0.74': 30, '0.75': 30, '0.76': 30, '0.77': 30, '0.78': 30, '0.79': 30, '0.8': 30, '0.81': 30, '0.82': 30, '0.83': 30, '0.84': 30, '0.85': 30, '0.86': 30, '0.87': 30, '0.88': 30, '0.89': 30, '0.9': 30, '0.91': 30, '0.92': 30, '0.93': 30, '0.94': 30, '0.95': 30, '0.96': 30, '0.97': 30, '0.98': 30, '0.99': 30, '1.1': 30, '1.2': 30, '1.3': 30, '1.4': 30, '1.5': 30, '1.6': 30, '1.7': 30, '1.8': 30, '1.9': 30, '2.1': 30, '2.2': 30, '2.3': 30, '2.4': 30, '2.5': 30, '2.6': 30, '2.7': 30, '2.8': 30, '2.9': 30, '3.1': 30, '3.2': 30, '3.3': 30, '3.4': 30, '3.5': 30, '3.6': 30, '3.7': 30, '3.8': 30, '3.9': 30, '4.1': 30, '4.2': 30, '4.3': 30, '4.4': 30, '4.5': 30, '4.6': 30, '4.7': 30, '4.8': 30, '4.9': 30, '5.1': 30, '5.2': 30, '5.3': 30, '5.4': 30, '5.5': 30, '5.6': 30, '5.7': 30, '5.8': 30, '5.9': 30}"
sqlite,1,['q8'],2,"[1, 8]",422005652.0,0.003929968157874509,0.042151162790697666,both,"{'0.01': 8, '0.02': 8, '0.03': 8, '0.04': 8, '0.05': 8, '0.06': 8, '0.07': 8, '0.08': 8, '0.09': 8, '0.1': 8, '0.11': 8, '0.12': 8, '0.13': 8, '0.14': 8, '0.15': 8, '0.16': 8, '0.17': 8, '0.18': 8, '0.19': 8, '0.2': 8, '0.21': 8, '0.22': 8, '0.23': 8, '0.24': 8, '0.25': 8, '0.26': 8, '0.27': 8, '0.28': 8, '0.29': 8, '0.3': 8, '0.31': 8, '0.32': 8, '0.33': 8, '0.34': 8, '0.35': 8, '0.36': 8, '0.37': 8, '0.38': 8, '0.39': 8, '0.4': 8, '0.41': 8, '0.42': 8, '0.43': 8, '0.44': 8, '0.45': 8, '0.46': 8, '0.47': 8, '0.48': 8, '0.49': 8, '0.5': 8, '0.51': 8, '0.52': 8, '0.53': 8, '0.54': 8, '0.55': 8, '0.56': 8, '0.57': 8, '0.58': 8, '0.59': 8, '0.6': 8, '0.61': 8, '0.62': 8, '0.63': 8, '0.64': 8, '0.65': 8, '0.66': 8, '0.67': 8, '0.68': 8, '0.69': 8, '0.7': 8, '0.71': 8, '0.72': 8, '0.73': 8, '0.74': 8, '0.75': 8, '0.76': 8, '0.77': 8, '0.78': 8, '0.79': 8, '0.8': 8, '0.81': 8, '0.82': 8, '0.83': 8, '0.84': 8, '0.85': 8, '0.86': 8, '0.87': 8, '0.88': 8, '0.89': 8, '0.9': 8, '0.91': 8, '0.92': 8, '0.93': 8, '0.94': 8, '0.95': 8, '0.96': 8, '0.97': 8, '0.98': 8, '0.99': 8, '1.1': 8, '1.2': 8, '1.3': 8, '1.4': 8, '1.5': 8, '1.6': 8, '1.7': 8, '1.8': 8, '1.9': 8, '2.1': 1, '2.2': 1, '2.3': 1, '2.4': 1, '2.5': 1, '2.6': 1, '2.7': 1, '2.8': 1, '2.9': 1, '3.1': 1, '3.2': 1, '3.3': 1, '3.4': 1, '3.5': 1, '3.6': 1, '3.7': 1, '3.8': 1, '3.9': 1, '4.1': 1, '4.2': 1, '4.3': 1, '4.4': 1, '4.5': 1, '4.6': 1, '4.7': 1, '4.8': 1, '4.9': 1, '5.1': 1, '5.2': 1, '5.3': 1, '5.4': 1, '5.5': 1, '5.6': 1, '5.7': 1, '5.8': 1, '5.9': 1}"
sqlite,1,['q8'],3,"[1, 5, 32]",142004063.0,0.0028234478901617913,0.014173998044965797,both,"{'0.01': 5, '0.02': 32, '0.03': 32, '0.04': 5, '0.05': 32, '0.06': 5, '0.07': 5, '0.08': 5, '0.09': 5, '0.1': 5, '0.11': 32, '0.12': 5, '0.13': 5, '0.14': 32, '0.15': 5, '0.16': 5, '0.17': 5, '0.18': 5, '0.19': 5, '0.2': 32, '0.21': 32, '0.22': 5, '0.23': 5, '0.24': 5, '0.25': 5, '0.26': 5, '0.27': 5, '0.28': 5, '0.29': 32, '0.3': 5, '0.31': 32, '0.32': 5, '0.33': 32, '0.34': 5, '0.35': 32, '0.36': 5, '0.37': 32, '0.38': 32, '0.39': 32, '0.4': 5, '0.41': 5, '0.42': 5, '0.43': 5, '0.44': 5, '0.45': 5, '0.46': 32, '0.47': 5, '0.48': 32, '0.49': 5, '0.5': 5, '0.51': 5, '0.52': 5, '0.53': 5, '0.54': 5, '0.55': 5, '0.56': 5, '0.57': 5, '0.58': 5, '0.59': 32, '0.6': 5, '0.61': 5, '0.62': 5, '0.63': 5, '0.64': 5, '0.65': 5, '0.66': 5, '0.67': 32, '0.68': 5, '0.69': 5, '0.7': 5, '0.71': 5, '0.72': 5, '0.73': 32, '0.74': 32, '0.75': 5, '0.76': 5, '0.77': 5, '0.78': 5, '0.79': 5, '0.8': 5, '0.81': 5, '0.82': 5, '0.83': 5, '0.84': 5, '0.85': 5, '0.86': 5, '0.87': 5, '0.88': 32, '0.89': 5, '0.9': 5, '0.91': 5, '0.92': 32, '0.93': 5, '0.94': 5, '0.95': 5, '0.96': 5, '0.97': 5, '0.98': 5, '0.99': 5, '1.1': 5, '1.2': 5, '1.3': 32, '1.4': 5, '1.5': 5, '1.6': 5, '1.7': 32, '1.8': 5, '1.9': 5, '2.1': 1, '2.2': 1, '2.3': 1, '2.4': 1, '2.5': 1, '2.6': 1, '2.7': 1, '2.8': 1, '2.9': 1, '3.1': 1, '3.2': 1, '3.3': 1, '3.4': 1, '3.5': 1, '3.6': 1, '3.7': 1, '3.8': 1, '3.9': 1, '4.1': 1, '4.2': 1, '4.3': 1, '4.4': 1, '4.5': 1, '4.6': 1, '4.7': 1, '4.8': 1, '4.9': 1, '5.1': 1, '5.2': 1, '5.3': 1, '5.4': 1, '5.5': 1, '5.6': 1, '5.7': 1, '5.8': 1, '5.9': 1}"
sqlite,1,['q8'],4,"[1, 8, 42, 48]",88001707.0,0.001187730068303347,0.008810572687224677,both,"{'0.01': 42, '0.02': 8, '0.03': 42, '0.04': 42, '0.05': 8, '0.06': 8, '0.07': 42, '0.08': 42, '0.09': 42, '0.1': 8, '0.11': 8, '0.12': 48, '0.13': 48, '0.14': 48, '0.15': 8, '0.16': 42, '0.17': 8, '0.18': 8, '0.19': 48, '0.2': 8, '0.21': 42, '0.22': 42, '0.23': 8, '0.24': 8, '0.25': 8, '0.26': 42, '0.27': 48, '0.28': 8, '0.29': 48, '0.3': 42, '0.31': 48, '0.32': 8, '0.33': 8, '0.34': 48, '0.35': 48, '0.36': 8, '0.37': 48, '0.38': 42, '0.39': 42, '0.4': 8, '0.41': 42, '0.42': 48, '0.43': 48, '0.44': 48, '0.45': 8, '0.46': 48, '0.47': 8, '0.48': 8, '0.49': 48, '0.5': 42, '0.51': 48, '0.52': 8, '0.53': 42, '0.54': 8, '0.55': 48, '0.56': 48, '0.57': 8, '0.58': 48, '0.59': 8, '0.6': 8, '0.61': 8, '0.62': 42, '0.63': 42, '0.64': 48, '0.65': 8, '0.66': 42, '0.67': 48, '0.68': 48, '0.69': 42, '0.7': 8, '0.71': 42, '0.72': 48, '0.73': 48, '0.74': 42, '0.75': 8, '0.76': 42, '0.77': 42, '0.78': 8, '0.79': 42, '0.8': 48, '0.81': 48, '0.82': 8, '0.83': 48, '0.84': 8, '0.85': 42, '0.86': 42, '0.87': 42, '0.88': 42, '0.89': 42, '0.9': 48, '0.91': 42, '0.92': 8, '0.93': 8, '0.94': 8, '0.95': 42, '0.96': 8, '0.97': 8, '0.98': 48, '0.99': 42, '1.1': 8, '1.2': 48, '1.3': 48, '1.4': 48, '1.5': 48, '1.6': 48, '1.7': 48, '1.8': 48, '1.9': 48, '2.1': 1, '2.2': 1, '2.3': 1, '2.4': 1, '2.5': 1, '2.6': 1, '2.7': 1, '2.8': 1, '2.9': 1, '3.1': 1, '3.2': 1, '3.3': 1, '3.4': 1, '3.5': 1, '3.6': 1, '3.7': 1, '3.8': 1, '3.9': 1, '4.1': 1, '4.2': 1, '4.3': 1, '4.4': 1, '4.5': 1, '4.6': 1, '4.7': 1, '4.8': 1, '4.9': 1, '5.1': 1, '5.2': 1, '5.3': 1, '5.4': 1, '5.5': 1, '5.6': 1, '5.7': 1, '5.8': 1, '5.9': 1}"
sqlite,1,['q8'],5,"[1, 5, 29, 34, 42]",72001965.0,0.0013664001345842691,0.007224713502740387,both,"{'0.01': 5, '0.02': 34, '0.03': 42, '0.04': 5, '0.05': 29, '0.06': 34, '0.07': 5, '0.08': 5, '0.09': 5, '0.1': 5, '0.11': 29, '0.12': 5, '0.13': 29, '0.14': 34, '0.15': 34, '0.16': 34, '0.17': 29, '0.18': 5, '0.19': 29, '0.2': 34, '0.21': 42, '0.22': 42, '0.23': 5, '0.24': 29, '0.25': 42, '0.26': 29, '0.27': 5, '0.28': 5, '0.29': 29, '0.3': 42, '0.31': 29, '0.32': 29, '0.33': 5, '0.34': 5, '0.35': 29, '0.36': 5, '0.37': 29, '0.38': 42, '0.39': 42, '0.4': 5, '0.41': 42, '0.42': 5, '0.43': 5, '0.44': 42, '0.45': 29, '0.46': 29, '0.47': 29, '0.48': 42, '0.49': 5, '0.5': 42, '0.51': 5, '0.52': 5, '0.53': 29, '0.54': 42, '0.55': 5, '0.56': 29, '0.57': 5, '0.58': 5, '0.59': 42, '0.6': 5, '0.61': 29, '0.62': 5, '0.63': 42, '0.64': 29, '0.65': 5, '0.66': 5, '0.67': 5, '0.68': 29, '0.69': 42, '0.7': 42, '0.71': 42, '0.72': 42, '0.73': 42, '0.74': 42, '0.75': 5, '0.76': 5, '0.77': 42, '0.78': 5, '0.79': 42, '0.8': 29, '0.81': 29, '0.82': 5, '0.83': 42, '0.84': 5, '0.85': 42, '0.86': 42, '0.87': 42, '0.88': 42, '0.89': 42, '0.9': 42, '0.91': 5, '0.92': 29, '0.93': 29, '0.94': 29, '0.95': 29, '0.96': 42, '0.97': 5, '0.98': 42, '0.99': 42, '1.1': 29, '1.2': 5, '1.3': 29, '1.4': 5, '1.5': 5, '1.6': 5, '1.7': 42, '1.8': 29, '1.9': 29, '2.1': 1, '2.2': 1, '2.3': 1, '2.4': 1, '2.5': 1, '2.6': 1, '2.7': 1, '2.8': 1, '2.9': 1, '3.1': 1, '3.2': 1, '3.3': 1, '3.4': 1, '3.5': 1, '3.6': 1, '3.7': 1, '3.8': 1, '3.9': 1, '4.1': 1, '4.2': 1, '4.3': 1, '4.4': 1, '4.5': 1, '4.6': 1, '4.7': 1, '4.8': 1, '4.9': 1, '5.1': 1, '5.2': 1, '5.3': 1, '5.4': 1, '5.5': 1, '5.6': 1, '5.7': 1, '5.8': 1, '5.9': 1}"
sqlite,1,['q8'],6,"[1, 5, 6, 8, 33, 48]",44000761.0,0.0005318885914971478,0.004398826979472144,both,"{'0.01': 5, '0.02': 6, '0.03': 33, '0.04': 5, '0.05': 8, '0.06': 33, '0.07': 5, '0.08': 5, '0.09': 5, '0.1': 5, '0.11': 8, '0.12': 5, '0.13': 6, '0.14': 48, '0.15': 6, '0.16': 6, '0.17': 8, '0.18': 8, '0.19': 48, '0.2': 8, '0.21': 48, '0.22': 6, '0.23': 33, '0.24': 8, '0.25': 8, '0.26': 5, '0.27': 48, '0.28': 8, '0.29': 33, '0.3': 6, '0.31': 48, '0.32': 33, '0.33': 8, '0.34': 6, '0.35': 6, '0.36': 5, '0.37': 6, '0.38': 6, '0.39': 8, '0.4': 5, '0.41': 6, '0.42': 48, '0.43': 48, '0.44': 48, '0.45': 33, '0.46': 6, '0.47': 8, '0.48': 8, '0.49': 48, '0.5': 8, '0.51': 5, '0.52': 8, '0.53': 6, '0.54': 8, '0.55': 48, '0.56': 48, '0.57': 8, '0.58': 6, '0.59': 8, '0.6': 5, '0.61': 8, '0.62': 5, '0.63': 8, '0.64': 48, '0.65': 33, '0.66': 5, '0.67': 6, '0.68': 48, '0.69': 5, '0.7': 6, '0.71': 6, '0.72': 6, '0.73': 33, '0.74': 6, '0.75': 33, '0.76': 5, '0.77': 8, '0.78': 8, '0.79': 8, '0.8': 6, '0.81': 48, '0.82': 5, '0.83': 48, '0.84': 5, '0.85': 6, '0.86': 5, '0.87': 6, '0.88': 33, '0.89': 6, '0.9': 33, '0.91': 5, '0.92': 8, '0.93': 8, '0.94': 33, '0.95': 5, '0.96': 8, '0.97': 5, '0.98': 48, '0.99': 8, '1.1': 6, '1.2': 33, '1.3': 33, '1.4': 33, '1.5': 5, '1.6': 5, '1.7': 48, '1.8': 6, '1.9': 48, '2.1': 1, '2.2': 1, '2.3': 1, '2.4': 1, '2.5': 1, '2.6': 1, '2.7': 1, '2.8': 1, '2.9': 1, '3.1': 1, '3.2': 1, '3.3': 1, '3.4': 1, '3.5': 1, '3.6': 1, '3.7': 1, '3.8': 1, '3.9': 1, '4.1': 1, '4.2': 1, '4.3': 1, '4.4': 1, '4.5': 1, '4.6': 1, '4.7': 1, '4.8': 1, '4.9': 1, '5.1': 1, '5.2': 1, '5.3': 1, '5.4': 1, '5.5': 1, '5.6': 1, '5.7': 1, '5.8': 1, '5.9': 1}"
sqlite,1,['q8'],7,"[1, 5, 6, 8, 33, 47, 48]",36000564.0,0.0003937783503552772,0.0036231884057971045,both,"{'0.01': 5, '0.02': 6, '0.03': 33, '0.04': 5, '0.05': 8, '0.06': 33, '0.07': 5, '0.08': 5, '0.09': 5, '0.1': 5, '0.11': 8, '0.12': 5, '0.13': 6, '0.14': 48, '0.15': 6, '0.16': 6, '0.17': 8, '0.18': 8, '0.19': 48, '0.2': 8, '0.21': 47, '0.22': 6, '0.23': 33, '0.24': 8, '0.25': 8, '0.26': 5, '0.27': 47, '0.28': 47, '0.29': 33, '0.3': 6, '0.31': 48, '0.32': 33, '0.33': 8, '0.34': 6, '0.35': 6, '0.36': 5, '0.37': 6, '0.38': 6, '0.39': 47, '0.4': 5, '0.41': 6, '0.42': 47, '0.43': 48, '0.44': 48, '0.45': 33, '0.46': 47, '0.47': 8, '0.48': 8, '0.49': 48, '0.5': 8, '0.51': 5, '0.52': 8, '0.53': 47, '0.54': 8, '0.55': 48, '0.56': 48, '0.57': 8, '0.58': 47, '0.59': 8, '0.6': 5, '0.61': 8, '0.62': 5, '0.63': 8, '0.64': 47, '0.65': 33, '0.66': 5, '0.67': 47, '0.68': 48, '0.69': 5, '0.7': 6, '0.71': 6, '0.72': 6, '0.73': 33, '0.74': 6, '0.75': 33, '0.76': 5, '0.77': 8, '0.78': 8, '0.79': 8, '0.8': 6, '0.81': 48, '0.82': 5, '0.83': 48, '0.84': 5, '0.85': 47, '0.86': 5, '0.87': 47, '0.88': 33, '0.89': 47, '0.9': 33, '0.91': 5, '0.92': 8, '0.93': 8, '0.94': 33, '0.95': 5, '0.96': 47, '0.97': 47, '0.98': 48, '0.99': 8, '1.1': 6, '1.2': 33, '1.3': 33, '1.4': 33, '1.5': 5, '1.6': 5, '1.7': 48, '1.8': 6, '1.9': 48, '2.1': 1, '2.2': 1, '2.3': 1, '2.4': 1, '2.5': 1, '2.6': 1, '2.7': 1, '2.8': 1, '2.9': 1, '3.1': 1, '3.2': 1, '3.3': 1, '3.4': 1, '3.5': 1, '3.6': 1, '3.7': 1, '3.8': 1, '3.9': 1, '4.1': 1, '4.2': 1, '4.3': 1, '4.4': 1, '4.5': 1, '4.6': 1, '4.7': 1, '4.8': 1, '4.9': 1, '5.1': 1, '5.2': 1, '5.3': 1, '5.4': 1, '5.5': 1, '5.6': 1, '5.7': 1, '5.8': 1, '5.9': 1}"
sqlite,1,['q8'],8,"[1, 5, 6, 8, 23, 26, 33, 48]",31000406.0,0.00028667464653924293,0.003125000000000003,both,"{'0.01': 5, '0.02': 6, '0.03': 26, '0.04': 5, '0.05': 8, '0.06': 33, '0.07': 23, '0.08': 5, '0.09': 5, '0.1': 5, '0.11': 8, '0.12': 5, '0.13': 6, '0.14': 48, '0.15': 6, '0.16': 23, '0.17': 8, '0.18': 8, '0.19': 48, '0.2': 8, '0.21': 23, '0.22': 6, '0.23': 33, '0.24': 8, '0.25': 8, '0.26': 5, '0.27': 48, '0.28': 26, '0.29': 33, '0.3': 6, '0.31': 48, '0.32': 33, '0.33': 23, '0.34': 26, '0.35': 6, '0.36': 5, '0.37': 6, '0.38': 23, '0.39': 23, '0.4': 23, '0.41': 26, '0.42': 26, '0.43': 48, '0.44': 48, '0.45': 33, '0.46': 6, '0.47': 8, '0.48': 8, '0.49': 48, '0.5': 26, '0.51': 5, '0.52': 8, '0.53': 26, '0.54': 8, '0.55': 48, '0.56': 23, '0.57': 8, '0.58': 26, '0.59': 8, '0.6': 5, '0.61': 8, '0.62': 5, '0.63': 8, '0.64': 23, '0.65': 23, '0.66': 5, '0.67': 6, '0.68': 48, '0.69': 5, '0.7': 6, '0.71': 6, '0.72': 6, '0.73': 33, '0.74': 23, '0.75': 33, '0.76': 5, '0.77': 8, '0.78': 8, '0.79': 23, '0.8': 6, '0.81': 23, '0.82': 5, '0.83': 48, '0.84': 5, '0.85': 23, '0.86': 26, '0.87': 6, '0.88': 33, '0.89': 23, '0.9': 33, '0.91': 5, '0.92': 23, '0.93': 8, '0.94': 33, '0.95': 5, '0.96': 26, '0.97': 26, '0.98': 48, '0.99': 26, '1.1': 6, '1.2': 33, '1.3': 23, '1.4': 33, '1.5': 5, '1.6': 5, '1.7': 48, '1.8': 6, '1.9': 48, '2.1': 1, '2.2': 1, '2.3': 1, '2.4': 1, '2.5': 1, '2.6': 1, '2.7': 1, '2.8': 1, '2.9': 1, '3.1': 1, '3.2': 1, '3.3': 1, '3.4': 1, '3.5': 1, '3.6': 1, '3.7': 1, '3.8': 1, '3.9': 1, '4.1': 1, '4.2': 1, '4.3': 1, '4.4': 1, '4.5': 1, '4.6': 1, '4.7': 1, '4.8': 1, '4.9': 1, '5.1': 1, '5.2': 1, '5.3': 1, '5.4': 1, '5.5': 1, '5.6': 1, '5.7': 1, '5.8': 1, '5.9': 1}"
sqlite,1,['q8'],9,"[1, 5, 6, 8, 19, 23, 26, 33, 48]",28000314.0,0.00022179487756520799,0.0028467908902691246,both,"{'0.01': 5, '0.02': 6, '0.03': 19, '0.04': 19, '0.05': 8, '0.06': 33, '0.07': 23, '0.08': 5, '0.09': 5, '0.1': 5, '0.11': 8, '0.12': 5, '0.13': 6, '0.14': 48, '0.15': 6, '0.16': 23, '0.17': 8, '0.18': 8, '0.19': 19, '0.2': 8, '0.21': 23, '0.22': 6, '0.23': 33, '0.24': 8, '0.25': 8, '0.26': 5, '0.27': 19, '0.28': 26, '0.29': 33, '0.3': 6, '0.31': 48, '0.32': 19, '0.33': 23, '0.34': 26, '0.35': 6, '0.36': 5, '0.37': 6, '0.38': 23, '0.39': 19, '0.4': 23, '0.41': 26, '0.42': 26, '0.43': 48, '0.44': 48, '0.45': 33, '0.46': 6, '0.47': 8, '0.48': 8, '0.49': 48, '0.5': 26, '0.51': 5, '0.52': 19, '0.53': 19, '0.54': 8, '0.55': 48, '0.56': 23, '0.57': 8, '0.58': 26, '0.59': 8, '0.6': 5, '0.61': 8, '0.62': 5, '0.63': 8, '0.64': 23, '0.65': 23, '0.66': 5, '0.67': 6, '0.68': 48, '0.69': 5, '0.7': 6, '0.71': 6, '0.72': 6, '0.73': 33, '0.74': 23, '0.75': 19, '0.76': 5, '0.77': 8, '0.78': 8, '0.79': 23, '0.8': 6, '0.81': 23, '0.82': 5, '0.83': 48, '0.84': 5, '0.85': 23, '0.86': 26, '0.87': 6, '0.88': 33, '0.89': 23, '0.9': 33, '0.91': 5, '0.92': 23, '0.93': 8, '0.94': 33, '0.95': 5, '0.96': 26, '0.97': 26, '0.98': 48, '0.99': 26, '1.1': 6, '1.2': 33, '1.3': 23, '1.4': 33, '1.5': 5, '1.6': 5, '1.7': 48, '1.8': 6, '1.9': 48, '2.1': 1, '2.2': 1, '2.3': 1, '2.4': 1, '2.5': 1, '2.6': 1, '2.7': 1, '2.8': 1, '2.9': 1, '3.1': 1, '3.2': 1, '3.3': 1, '3.4': 1, '3.5': 1, '3.6': 1, '3.7': 1, '3.8': 1, '3.9': 1, '4.1': 1, '4.2': 1, '4.3': 1, '4.4': 1, '4.5': 1, '4.6': 1, '4.7': 1, '4.8': 1, '4.9': 1, '5.1': 1, '5.2': 1, '5.3': 1, '5.4': 1, '5.5': 1, '5.6': 1, '5.7': 1, '5.8': 1, '5.9': 1}"
sqlite,1,['q8'],10,"[1, 5, 6, 8, 19, 23, 26, 33, 42, 48]",22000204.0,0.00014490595960665759,0.0022197558268590473,both,"{'0.01': 5, '0.02': 6, '0.03': 19, '0.04': 19, '0.05': 8, '0.06': 33, '0.07': 23, '0.08': 5, '0.09': 5, '0.1': 5, '0.11': 8, '0.12': 5, '0.13': 6, '0.14': 48, '0.15': 6, '0.16': 23, '0.17': 8, '0.18': 8, '0.19': 19, '0.2': 8, '0.21': 42, '0.22': 6, '0.23': 33, '0.24': 8, '0.25': 8, '0.26': 42, '0.27': 19, '0.28': 26, '0.29': 33, '0.3': 6, '0.31': 48, '0.32': 19, '0.33': 23, '0.34': 26, '0.35': 6, '0.36': 5, '0.37': 6, '0.38': 42, '0.39': 19, '0.4': 23, '0.41': 26, '0.42': 26, '0.43': 48, '0.44': 48, '0.45': 33, '0.46': 6, '0.47': 8, '0.48': 8, '0.49': 48, '0.5': 42, '0.51': 5, '0.52': 19, '0.53': 19, '0.54': 8, '0.55': 48, '0.56': 23, '0.57': 8, '0.58': 26, '0.59': 8, '0.6': 5, '0.61': 8, '0.62': 5, '0.63': 42, '0.64': 23, '0.65': 23, '0.66': 5, '0.67': 6, '0.68': 48, '0.69': 42, '0.7': 6, '0.71': 6, '0.72': 6, '0.73': 33, '0.74': 23, '0.75': 19, '0.76': 5, '0.77': 42, '0.78': 8, '0.79': 23, '0.8': 6, '0.81': 23, '0.82': 5, '0.83': 48, '0.84': 5, '0.85': 23, '0.86': 42, '0.87': 42, '0.88': 33, '0.89': 42, '0.9': 33, '0.91': 5, '0.92': 23, '0.93': 8, '0.94': 33, '0.95': 5, '0.96': 26, '0.97': 26, '0.98': 48, '0.99': 26, '1.1': 6, '1.2': 33, '1.3': 23, '1.4': 33, '1.5': 5, '1.6': 5, '1.7': 48, '1.8': 6, '1.9': 48, '2.1': 1, '2.2': 1, '2.3': 1, '2.4': 1, '2.5': 1, '2.6': 1, '2.7': 1, '2.8': 1, '2.9': 1, '3.1': 1, '3.2': 1, '3.3': 1, '3.4': 1, '3.5': 1, '3.6': 1, '3.7': 1, '3.8': 1, '3.9': 1, '4.1': 1, '4.2': 1, '4.3': 1, '4.4': 1, '4.5': 1, '4.6': 1, '4.7': 1, '4.8': 1, '4.9': 1, '5.1': 1, '5.2': 1, '5.3': 1, '5.4': 1, '5.5': 1, '5.6': 1, '5.7': 1, '5.8': 1, '5.9': 1}"
