system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target
sqlite,1,['q8'],1,[np.int64(30)],0.0833,0.040876000422448794,0.08333333333333334,max
sqlite,1,['q8'],2,"[np.int64(8), np.int64(37)]",0.0422,0.003930346068101247,0.042151162790697666,max
sqlite,1,['q8'],3,"[np.int64(5), np.int64(32), np.int64(43)]",0.0142,0.0028385261249150953,0.014173998044965797,max
sqlite,1,['q8'],4,"[np.int64(8), np.int64(42), np.int64(43), np.int64(48)]",0.0088,0.001202808303056651,0.008810572687224677,max
sqlite,1,['q8'],5,"[np.int64(5), np.int64(29), np.int64(34), np.int64(42), np.int64(43)]",0.0072,0.0013814783693375733,0.007224713502740387,max
sqlite,1,['q8'],6,"[np.int64(5), np.int64(6), np.int64(8), np.int64(33), np.int64(43), np.int64(48)]",0.0044,0.0005469668262504517,0.004398826979472144,max
sqlite,1,['q8'],7,"[np.int64(5), np.int64(6), np.int64(8), np.int64(33), np.int64(43), np.int64(47), np.int64(48)]",0.0036,0.00040885658510858114,0.0036231884057971045,max
sqlite,1,['q8'],8,"[np.int64(5), np.int64(6), np.int64(8), np.int64(33), np.int64(42), np.int64(43), np.int64(47), np.int64(48)]",0.0031,0.00030530823653633285,0.003128911138923623,max
sqlite,1,['q8'],9,"[np.int64(5), np.int64(6), np.int64(8), np.int64(19), np.int64(23), np.int64(26), np.int64(33), np.int64(43), np.int64(48)]",0.0028,0.000236873112318512,0.0028467908902691246,max
sqlite,1,['q8'],10,"[np.int64(5), np.int64(6), np.int64(8), np.int64(19), np.int64(23), np.int64(26), np.int64(33), np.int64(42), np.int64(43), np.int64(48)]",0.0022,0.0001599841943599616,0.0022197558268590473,max
sqlite,1,['q8'],11,"[np.int64(5), np.int64(6), np.int64(8), np.int64(19), np.int64(23), np.int64(26), np.int64(33), np.int64(42), np.int64(43), np.int64(47), np.int64(48)]",0.0017,0.00012923308909346316,0.0016735128556214663,max
sqlite,1,['q8'],12,"[np.int64(5), np.int64(6), np.int64(8), np.int64(18), np.int64(19), np.int64(23), np.int64(25), np.int64(26), np.int64(33), np.int64(42), np.int64(47), np.int64(48)]",0.0012,7.950419838739533e-05,0.0012437810945273642,max
sqlite,1,['q8'],13,"[np.int64(5), np.int64(6), np.int64(8), np.int64(18), np.int64(19), np.int64(23), np.int64(25), np.int64(26), np.int64(33), np.int64(42), np.int64(46), np.int64(47), np.int64(48)]",0.0009,3.3862246959069875e-05,0.0009228497600590428,max
sqlite,1,['q8'],14,"[np.int64(5), np.int64(6), np.int64(8), np.int64(18), np.int64(19), np.int64(23), np.int64(25), np.int64(26), np.int64(33), np.int64(38), np.int64(42), np.int64(46), np.int64(47), np.int64(48)]",0.0005,2.146298636857134e-05,0.0005181347150259073,max
