system,num_performances,performances,num_configs,selected_configs,fold,train_cost,train_wcp_mean,train_wcp_max,test_wcp_mean,test_wcp_max,optimization_target
sqlite,1,['q8'],1,[np.int64(30)],1,0.08333,0.03989943084928946,0.08333333333333334,0.04380570914192675,0.08239700374531839,max
sqlite,1,['q8'],2,"[np.int64(8), np.int64(37)]",1,0.04215,0.004346840919495216,0.042151162790697666,0.0026808615139193403,0.019138755980861216,max
sqlite,1,['q8'],3,"[np.int64(34), np.int64(37), np.int64(42)]",1,0.01,0.0024686579434726745,0.009996001599360219,0.004148101455999656,0.02636534839924668,max
sqlite,1,['q8'],4,"[np.int64(6), np.int64(23), np.int64(37), np.int64(42)]",1,0.00822,0.0011287032668789647,0.008221225710014927,0.0021730953626199253,0.02354048964218453,max
sqlite,1,['q8'],5,"[np.int64(5), np.int64(6), np.int64(33), np.int64(37), np.int64(48)]",1,0.00458,0.000864198795709021,0.004577822990844339,0.0015944885983480434,0.016007532956685517,max
sqlite,1,['q8'],6,"[np.int64(5), np.int64(6), np.int64(33), np.int64(37), np.int64(47), np.int64(48)]",1,0.00416,0.0006685545126270007,0.004163927240850345,0.001011592181871154,0.009844559585492237,max
sqlite,1,['q8'],7,"[np.int64(5), np.int64(6), np.int64(23), np.int64(33), np.int64(37), np.int64(47), np.int64(48)]",1,0.00347,0.0004816250280653468,0.003472222222222226,0.0007090692062609416,0.009416195856873833,max
sqlite,1,['q8'],8,"[np.int64(5), np.int64(6), np.int64(8), np.int64(18), np.int64(23), np.int64(26), np.int64(33), np.int64(48)]",1,0.00313,0.00029719130957464005,0.003125000000000003,0.0002604124930013902,0.0022197558268590473,max
sqlite,1,['q8'],9,"[np.int64(5), np.int64(6), np.int64(8), np.int64(18), np.int64(19), np.int64(23), np.int64(26), np.int64(33), np.int64(48)]",1,0.00285,0.00022703316115986512,0.0028467908902691246,0.00021136786234957495,0.0022197558268590473,max
sqlite,1,['q8'],10,"[np.int64(5), np.int64(6), np.int64(8), np.int64(19), np.int64(23), np.int64(26), np.int64(33), np.int64(37), np.int64(42), np.int64(48)]",1,0.00167,0.00012382062220610266,0.0016735128556214663,0.00020967361271527298,0.0022197558268590473,max
sqlite,1,['q8'],11,"[np.int64(5), np.int64(6), np.int64(8), np.int64(19), np.int64(23), np.int64(25), np.int64(26), np.int64(33), np.int64(37), np.int64(42), np.int64(48)]",1,0.00124,8.75003413536726e-05,0.0012437810945273642,0.0001747439958931695,0.0022197558268590473,max
sqlite,1,['q8'],12,"[np.int64(5), np.int64(6), np.int64(8), np.int64(19), np.int64(23), np.int64(25), np.int64(26), np.int64(33), np.int64(37), np.int64(42), np.int64(46), np.int64(48)]",1,0.00092,3.8715433546151546e-05,0.0009228497600590428,0.0001352125791408627,0.0022197558268590473,max
sqlite,1,['q8'],13,"[np.int64(5), np.int64(6), np.int64(8), np.int64(19), np.int64(23), np.int64(25), np.int64(26), np.int64(33), np.int64(37), np.int64(38), np.int64(42), np.int64(46), np.int64(48)]",1,0.00049,2.1102280762486372e-05,0.0004942665085013734,0.0001352125791408627,0.0022197558268590473,max
sqlite,1,['q8'],14,"[np.int64(5), np.int64(6), np.int64(8), np.int64(19), np.int64(23), np.int64(25), np.int64(26), np.int64(29), np.int64(33), np.int64(37), np.int64(38), np.int64(42), np.int64(46), np.int64(48)]",1,0.00023,6.942927758181995e-06,0.0002334539512081503,0.00011428993961093995,0.0022197558268590473,max
sqlite,1,['q8'],15,"[np.int64(5), np.int64(6), np.int64(8), np.int64(19), np.int64(23), np.int64(25), np.int64(26), np.int64(29), np.int64(33), np.int64(37), np.int64(38), np.int64(42), np.int64(46), np.int64(47), np.int64(48)]",1,8e-05,4.78131709884727e-06,8.19672131147541e-05,1.6854896184420607e-05,0.0005181347150259073,max
sqlite,1,['q8'],16,"[np.int64(5), np.int64(6), np.int64(8), np.int64(19), np.int64(23), np.int64(25), np.int64(26), np.int64(28), np.int64(29), np.int64(30), np.int64(33), np.int64(38), np.int64(42), np.int64(46), np.int64(47), np.int64(48)]",1,4e-05,3.0169478177656496e-06,4.0731538430206515e-05,1.8186436597576843e-05,0.0005181347150259073,max
sqlite,1,['q8'],17,"[np.int64(5), np.int64(6), np.int64(8), np.int64(18), np.int64(19), np.int64(23), np.int64(25), np.int64(26), np.int64(28), np.int64(29), np.int64(33), np.int64(37), np.int64(38), np.int64(42), np.int64(46), np.int64(47), np.int64(48)]",1,2e-05,5.231649552307264e-07,2.0769294674752847e-05,1.4392630972941868e-05,0.0005181347150259073,max
