system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target
sqlite,1,['q8'],1,[np.int64(30)],0.04087430555555555,0.040876000422448794,0.08333333333333334,mean
sqlite,1,['q8'],2,"[np.int64(30), np.int64(42)]",0.003675,0.003677002700831237,0.04405286343612333,mean
sqlite,1,['q8'],3,"[np.int64(1), np.int64(5), np.int64(8)]",0.001836111111111111,0.001838451458265536,0.0200743494423792,mean
sqlite,1,['q8'],4,"[np.int64(1), np.int64(5), np.int64(8), np.int64(48)]",0.0010784722222222222,0.0010795296641581602,0.012500000000000013,mean
sqlite,1,['q8'],5,"[np.int64(1), np.int64(5), np.int64(6), np.int64(8), np.int64(48)]",0.0007597222222222222,0.0007624224880263804,0.012500000000000013,mean
sqlite,1,['q8'],6,"[np.int64(1), np.int64(5), np.int64(6), np.int64(8), np.int64(33), np.int64(48)]",0.0005284722222222223,0.0005318885914971478,0.004398826979472144,mean
sqlite,1,['q8'],7,"[np.int64(1), np.int64(5), np.int64(6), np.int64(8), np.int64(23), np.int64(33), np.int64(48)]",0.00038888888888888887,0.0003933163424622351,0.004235176880916822,mean
sqlite,1,['q8'],8,"[np.int64(1), np.int64(5), np.int64(6), np.int64(8), np.int64(23), np.int64(26), np.int64(33), np.int64(48)]",0.0002819444444444445,0.00028667464653924293,0.003125000000000003,mean
sqlite,1,['q8'],9,"[np.int64(1), np.int64(5), np.int64(6), np.int64(8), np.int64(23), np.int64(26), np.int64(33), np.int64(42), np.int64(48)]",0.00020208333333333336,0.00020604612467953773,0.003125000000000003,mean
sqlite,1,['q8'],10,"[np.int64(1), np.int64(5), np.int64(6), np.int64(8), np.int64(19), np.int64(23), np.int64(26), np.int64(33), np.int64(42), np.int64(48)]",0.00014166666666666668,0.00014490595960665759,0.0022197558268590473,mean
sqlite,1,['q8'],11,"[np.int64(1), np.int64(5), np.int64(6), np.int64(8), np.int64(19), np.int64(23), np.int64(26), np.int64(33), np.int64(42), np.int64(46), np.int64(48)]",9.236111111111112e-05,9.455593003937436e-05,0.0022197558268590473,mean
sqlite,1,['q8'],12,"[np.int64(1), np.int64(5), np.int64(6), np.int64(8), np.int64(19), np.int64(23), np.int64(25), np.int64(26), np.int64(33), np.int64(42), np.int64(46), np.int64(48)]",5.902777777777778e-05,6.246180971809166e-05,0.0022197558268590473,mean
