system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target
x264,1,['kbs'],1,[np.int64(53)],87256316340.0,0.49077958276874173,0.8724748202795667,both
x264,1,['kbs'],2,"[np.int64(32), np.int64(90)]",64261571158.0,0.12208050103944297,0.6426342289325407,both
x264,1,['kbs'],3,"[np.int64(22), np.int64(28), np.int64(90)]",52491250057.0,0.09712988077359679,0.524913898295341,both
x264,1,['kbs'],4,"[np.int64(21), np.int64(22), np.int64(32), np.int64(90)]",37870238914.0,0.018564125744640125,0.3787088523930628,both
x264,1,['kbs'],5,"[np.int64(21), np.int64(22), np.int64(32), np.int64(90), np.int64(100)]",27190170075.0,0.01321491574259238,0.27188689505165853,both
x264,1,['kbs'],6,"[np.int64(21), np.int64(22), np.int64(32), np.int64(33), np.int64(90), np.int64(100)]",23600146378.0,0.011373671106206195,0.23598096559905632,both
x264,1,['kbs'],7,"[np.int64(21), np.int64(22), np.int64(32), np.int64(33), np.int64(90), np.int64(100), np.int64(106)]",17840140234.0,0.010896378603109708,0.1783847580509191,both
x264,1,['kbs'],8,"[np.int64(21), np.int64(22), np.int64(31), np.int64(32), np.int64(33), np.int64(90), np.int64(100), np.int64(106)]",16350050607.0,0.003932353604264751,0.16348487830479555,both
x264,1,['kbs'],9,"[np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(90), np.int64(100), np.int64(106)]",13700016065.0,0.001248323395371532,0.13696390149194554,both
x264,1,['kbs'],10,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(90), np.int64(100), np.int64(106)]",10750007084.0,0.000550589595895386,0.10751156047233973,both
x264,1,['kbs'],11,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(52), np.int64(90), np.int64(100), np.int64(106)]",4520004130.0,0.00032102437281766606,0.04524336893090791,both
