system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target
x264,1,['kbs'],1,[np.int64(53)],0.8725,0.49077958276874173,0.8724748202795667,max
x264,1,['kbs'],2,"[np.int64(31), np.int64(90)]",0.6426,0.1267471194437585,0.6426342289325407,max
x264,1,['kbs'],3,"[np.int64(28), np.int64(65), np.int64(90)]",0.5249,0.12869011772448583,0.524913898295341,max
x264,1,['kbs'],4,"[np.int64(21), np.int64(22), np.int64(32), np.int64(90)]",0.3787,0.018564125744640125,0.3787088523930628,max
x264,1,['kbs'],5,"[np.int64(21), np.int64(22), np.int64(32), np.int64(90), np.int64(151)]",0.2719,0.01652688150628151,0.27188689505165853,max
x264,1,['kbs'],6,"[np.int64(21), np.int64(22), np.int64(32), np.int64(66), np.int64(90), np.int64(100)]",0.236,0.01310930729693368,0.23598096559905632,max
x264,1,['kbs'],7,"[np.int64(21), np.int64(22), np.int64(32), np.int64(33), np.int64(90), np.int64(100), np.int64(106)]",0.1784,0.010896378603109708,0.1783847580509191,max
x264,1,['kbs'],8,"[np.int64(21), np.int64(22), np.int64(32), np.int64(33), np.int64(90), np.int64(100), np.int64(106), np.int64(149)]",0.1635,0.010871959270812274,0.16348487830479555,max
x264,1,['kbs'],9,"[np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(90), np.int64(100), np.int64(106)]",0.137,0.001248323395371532,0.13696390149194554,max
x264,1,['kbs'],10,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(90), np.int64(100), np.int64(106)]",0.1075,0.000550589595895386,0.10751156047233973,max
x264,1,['kbs'],11,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(53), np.int64(90), np.int64(100), np.int64(106)]",0.0452,0.0003320819076959299,0.04524336893090791,max
x264,1,['kbs'],12,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(53), np.int64(90), np.int64(100), np.int64(106), np.int64(151)]",0.0399,0.00022805960132068936,0.039912720931621896,max
