system,num_performances,performances,num_configs,selected_configs,fold,train_cost,train_wcp_mean,train_wcp_max,test_wcp_mean,test_wcp_max,optimization_target
x264,1,['kbs'],1,[np.int64(32)],1,0.73057,0.1347254504202541,0.7305743425355595,0.13400186257378255,0.9761749243591098,max
x264,1,['kbs'],2,"[np.int64(32), np.int64(60)]",1,0.54236,0.1245394666347062,0.542355981834045,0.1242314209411599,0.9437309165209868,max
x264,1,['kbs'],3,"[np.int64(28), np.int64(90), np.int64(151)]",1,0.52491,0.11974770794239757,0.524913898295341,0.12539930303839417,0.46803270600040864,max
x264,1,['kbs'],4,"[np.int64(21), np.int64(22), np.int64(32), np.int64(90)]",1,0.37871,0.018902452941181164,0.3787088523930628,0.017550194860596332,0.2869337088513585,max
x264,1,['kbs'],5,"[np.int64(21), np.int64(22), np.int64(32), np.int64(90), np.int64(151)]",1,0.27189,0.016683766442385294,0.27188689505165853,0.016056713918268625,0.24452031697858728,max
x264,1,['kbs'],6,"[np.int64(21), np.int64(22), np.int64(32), np.int64(33), np.int64(90), np.int64(100)]",1,0.23598,0.011088729218301592,0.23598096559905632,0.012227611857224645,0.1783847580509191,max
x264,1,['kbs'],7,"[np.int64(21), np.int64(22), np.int64(32), np.int64(33), np.int64(90), np.int64(100), np.int64(106)]",1,0.16348,0.010481867665282581,0.16348487830479555,0.012138624115541936,0.1783847580509191,max
x264,1,['kbs'],8,"[np.int64(21), np.int64(22), np.int64(28), np.int64(32), np.int64(33), np.int64(90), np.int64(100), np.int64(106)]",1,0.15448,0.005188721911500785,0.15447598414826538,0.006026884445385339,0.1783847580509191,max
x264,1,['kbs'],9,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(32), np.int64(33), np.int64(90), np.int64(100), np.int64(106)]",1,0.13615,0.004276233320467021,0.1361536475401697,0.0050602707734179716,0.14352689994442283,max
x264,1,['kbs'],10,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(90), np.int64(100), np.int64(106)]",1,0.10751,0.000444408649739415,0.10751156047233973,0.0008688026798721311,0.08143778824010434,max
