system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target
x264,1,['kbs'],1,[np.int64(32)],0.13454312354312353,0.13454441290155647,0.9761749243591098,mean
x264,1,['kbs'],2,"[np.int64(21), np.int64(32)]",0.06162898212898212,0.061629771293594635,0.9761749243591098,mean
x264,1,['kbs'],3,"[np.int64(21), np.int64(22), np.int64(32)]",0.02191080031080031,0.0219111692368915,0.9761749243591098,mean
x264,1,['kbs'],4,"[np.int64(21), np.int64(22), np.int64(31), np.int64(32)]",0.014497513597513598,0.014497667719114586,0.9761749243591098,mean
x264,1,['kbs'],5,"[np.int64(21), np.int64(22), np.int64(31), np.int64(32), np.int64(100)]",0.009015850815850816,0.009015774483600737,0.9387873317174279,mean
x264,1,['kbs'],6,"[np.int64(21), np.int64(22), np.int64(31), np.int64(32), np.int64(90), np.int64(100)]",0.00605959595959596,0.006059580557911787,0.27188689505165853,mean
x264,1,['kbs'],7,"[np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(90), np.int64(100)]",0.0033132090132090134,0.003313176060778751,0.27188689505165853,mean
x264,1,['kbs'],8,"[np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(90), np.int64(100)]",0.0016665112665112667,0.0016665252928441021,0.23598096559905632,mean
x264,1,['kbs'],9,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(90), np.int64(100)]",0.0008926961926961927,0.0008927797899734506,0.23598096559905632,mean
x264,1,['kbs'],10,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(90), np.int64(100), np.int64(106)]",0.0005504273504273505,0.000550589595895386,0.10751156047233973,mean
x264,1,['kbs'],11,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(52), np.int64(90), np.int64(100), np.int64(106)]",0.00032090132090132093,0.00032102437281766606,0.04524336893090791,mean
x264,1,['kbs'],12,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(52), np.int64(90), np.int64(100), np.int64(106), np.int64(151)]",0.00021693861693861694,0.00021700206644242558,0.039912720931621896,mean
x264,1,['kbs'],13,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(52), np.int64(90), np.int64(100), np.int64(106), np.int64(151), np.int64(164)]",0.00017257187257187256,0.00017261131868060613,0.039912720931621896,mean
x264,1,['kbs'],14,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(52), np.int64(60), np.int64(90), np.int64(100), np.int64(106), np.int64(151), np.int64(164)]",0.0001358974358974359,0.00013598001369197077,0.039912720931621896,mean
x264,1,['kbs'],15,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(52), np.int64(60), np.int64(90), np.int64(100), np.int64(106), np.int64(145), np.int64(151), np.int64(164)]",0.0001048951048951049,0.00010496779851588541,0.03245633050044723,mean
x264,1,['kbs'],16,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(29), np.int64(31), np.int64(32), np.int64(33), np.int64(52), np.int64(60), np.int64(90), np.int64(100), np.int64(106), np.int64(145), np.int64(151), np.int64(164)]",7.808857808857808e-05,7.823350540593577e-05,0.02503673073215475,mean
x264,1,['kbs'],17,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(29), np.int64(31), np.int64(32), np.int64(33), np.int64(52), np.int64(53), np.int64(60), np.int64(90), np.int64(100), np.int64(106), np.int64(145), np.int64(151), np.int64(164)]",5.74980574980575e-05,5.763282662749709e-05,0.02503673073215475,mean
x264,1,['kbs'],18,"[np.int64(18), np.int64(21), np.int64(22), np.int64(26), np.int64(28), np.int64(29), np.int64(31), np.int64(32), np.int64(33), np.int64(52), np.int64(53), np.int64(60), np.int64(90), np.int64(100), np.int64(106), np.int64(145), np.int64(151), np.int64(164)]",3.8073038073038076e-05,3.817926739505362e-05,0.02041799016731747,mean
x264,2,"['kbs', 'etime']",1,[np.int64(32)],0.135693006993007,0.13569454227019292,0.9761749243591098,mean
x264,2,"['kbs', 'etime']",2,"[np.int64(21), np.int64(32)]",0.0670075369075369,0.06700846502666336,0.9761749243591098,mean
x264,2,"['kbs', 'etime']",3,"[np.int64(21), np.int64(22), np.int64(32)]",0.029332789432789434,0.02933351049800951,0.9761749243591098,mean
x264,2,"['kbs', 'etime']",4,"[np.int64(21), np.int64(22), np.int64(31), np.int64(32)]",0.022246309246309246,0.022246584425647167,0.9761749243591098,mean
x264,2,"['kbs', 'etime']",5,"[np.int64(21), np.int64(22), np.int64(31), np.int64(32), np.int64(100)]",0.018647863247863248,0.018647961092453067,0.9387873317174279,mean
x264,2,"['kbs', 'etime']",6,"[np.int64(21), np.int64(22), np.int64(31), np.int64(32), np.int64(90), np.int64(100)]",0.01643892773892774,0.01643896247325674,0.2750000000000002,mean
x264,2,"['kbs', 'etime']",7,"[np.int64(21), np.int64(22), np.int64(31), np.int64(32), np.int64(33), np.int64(90), np.int64(100)]",0.015082750582750583,0.015082799822166672,0.2750000000000002,mean
x264,2,"['kbs', 'etime']",8,"[np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(90), np.int64(100)]",0.014186790986790987,0.01418704172377177,0.2750000000000002,mean
x264,2,"['kbs', 'etime']",9,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(90), np.int64(100)]",0.01343939393939394,0.013439603566022014,0.2750000000000002,mean
x264,2,"['kbs', 'etime']",10,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(90), np.int64(100), np.int64(106)]",0.01318189588189588,0.013182146334898984,0.2750000000000002,mean
x264,2,"['kbs', 'etime']",11,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(31), np.int64(32), np.int64(33), np.int64(52), np.int64(90), np.int64(100), np.int64(106)]",0.01297886557886558,0.012979005312125194,0.2750000000000002,mean
x264,2,"['kbs', 'etime']",12,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(29), np.int64(31), np.int64(32), np.int64(33), np.int64(52), np.int64(90), np.int64(100), np.int64(106)]",0.012957731157731158,0.012957896887811298,0.2750000000000002,mean
x264,2,"['kbs', 'etime']",13,"[np.int64(18), np.int64(21), np.int64(22), np.int64(28), np.int64(29), np.int64(31), np.int64(32), np.int64(33), np.int64(52), np.int64(60), np.int64(90), np.int64(100), np.int64(106)]",0.012942191142191143,0.012942390393619104,0.2750000000000002,mean
x264,2,"['kbs', 'etime']",14,"[np.int64(18), np.int64(21), np.int64(22), np.int64(23), np.int64(28), np.int64(29), np.int64(31), np.int64(32), np.int64(33), np.int64(52), np.int64(60), np.int64(90), np.int64(100), np.int64(106)]",0.012930069930069931,0.012930273191566333,0.2750000000000002,mean
x264,2,"['kbs', 'etime']",15,"[np.int64(18), np.int64(21), np.int64(22), np.int64(23), np.int64(25), np.int64(28), np.int64(29), np.int64(31), np.int64(32), np.int64(33), np.int64(52), np.int64(60), np.int64(90), np.int64(100), np.int64(106)]",0.01292113442113442,0.012921314585723948,0.2750000000000002,mean
x264,2,"['kbs', 'etime']",16,"[np.int64(13), np.int64(18), np.int64(21), np.int64(22), np.int64(23), np.int64(25), np.int64(28), np.int64(29), np.int64(31), np.int64(32), np.int64(33), np.int64(52), np.int64(60), np.int64(90), np.int64(100), np.int64(106)]",0.012914763014763015,0.012914982649725862,0.2750000000000002,mean
