system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target,input_to_config_map
xz,1,['size'],1,[24],2000002.0,3.5535968350179035e-06,0.00017057264808085937,both,"{'Ecoli': 24, 'a': 24, 'aaa': 24, 'alice29': 24, 'alphabet': 24, 'asyoulik': 24, 'bib': 24, 'bible': 24, 'book1': 24, 'book2': 24, 'cp': 24, 'dickens': 24, 'fieldsc': 24, 'geo': 24, 'grammar': 24, 'kennedy': 24, 'lcet10': 24, 'mozilla': 24, 'mr': 24, 'nci': 24, 'news': 24, 'obj1': 24, 'obj2': 24, 'ooffice': 24, 'osdb': 24, 'paper1': 24, 'paper2': 24, 'paper3': 24, 'paper4': 24, 'paper5': 24, 'paper6': 24, 'pic': 24, 'plrabn12': 24, 'progc': 24, 'progl': 24, 'progp': 24, 'ptt5': 24, 'random': 24, 'reymont': 24, 'samba': 24, 'sao': 24, 'sum': 24, 'trans': 24, 'webster': 24, 'world192': 24, 'x-ray': 24, 'xargs': 24, 'xml': 24}"
xz,1,['size'],2,"[24, 29]",0.0,0.0,0.0,both,"{'Ecoli': 24, 'a': 24, 'aaa': 24, 'alice29': 24, 'alphabet': 24, 'asyoulik': 24, 'bib': 24, 'bible': 24, 'book1': 24, 'book2': 24, 'cp': 24, 'dickens': 24, 'fieldsc': 24, 'geo': 24, 'grammar': 24, 'kennedy': 24, 'lcet10': 24, 'mozilla': 24, 'mr': 29, 'nci': 24, 'news': 24, 'obj1': 24, 'obj2': 24, 'ooffice': 24, 'osdb': 24, 'paper1': 24, 'paper2': 24, 'paper3': 24, 'paper4': 24, 'paper5': 24, 'paper6': 24, 'pic': 24, 'plrabn12': 24, 'progc': 24, 'progl': 24, 'progp': 24, 'ptt5': 24, 'random': 24, 'reymont': 24, 'samba': 24, 'sao': 24, 'sum': 24, 'trans': 24, 'webster': 24, 'world192': 24, 'x-ray': 24, 'xargs': 24, 'xml': 24}"
xz,1,['size'],3,"[0, 24, 29]",0.0,0.0,0.0,both,"{'Ecoli': 24, 'a': 24, 'aaa': 24, 'alice29': 24, 'alphabet': 24, 'asyoulik': 24, 'bib': 24, 'bible': 24, 'book1': 24, 'book2': 24, 'cp': 24, 'dickens': 24, 'fieldsc': 24, 'geo': 24, 'grammar': 24, 'kennedy': 24, 'lcet10': 24, 'mozilla': 24, 'mr': 29, 'nci': 24, 'news': 24, 'obj1': 24, 'obj2': 24, 'ooffice': 24, 'osdb': 24, 'paper1': 24, 'paper2': 24, 'paper3': 24, 'paper4': 24, 'paper5': 24, 'paper6': 24, 'pic': 24, 'plrabn12': 24, 'progc': 24, 'progl': 24, 'progp': 24, 'ptt5': 24, 'random': 24, 'reymont': 24, 'samba': 24, 'sao': 24, 'sum': 24, 'trans': 24, 'webster': 24, 'world192': 24, 'x-ray': 24, 'xargs': 24, 'xml': 24}"
xz,2,"['size', 'time']",1,[29],9839345370.0,0.7195082790114805,0.9838709677419355,both,"{'Ecoli': 29, 'a': 29, 'aaa': 29, 'alice29': 29, 'alphabet': 29, 'asyoulik': 29, 'bib': 29, 'bible': 29, 'book1': 29, 'book2': 29, 'cp': 29, 'dickens': 29, 'fieldsc': 29, 'geo': 29, 'grammar': 29, 'kennedy': 29, 'lcet10': 29, 'mozilla': 29, 'mr': 29, 'nci': 29, 'news': 29, 'obj1': 29, 'obj2': 29, 'ooffice': 29, 'osdb': 29, 'paper1': 29, 'paper2': 29, 'paper3': 29, 'paper4': 29, 'paper5': 29, 'paper6': 29, 'pic': 29, 'plrabn12': 29, 'progc': 29, 'progl': 29, 'progp': 29, 'ptt5': 29, 'random': 29, 'reymont': 29, 'samba': 29, 'sao': 29, 'sum': 29, 'trans': 29, 'webster': 29, 'world192': 29, 'x-ray': 29, 'xargs': 29, 'xml': 29}"
xz,2,"['size', 'time']",2,"[14, 21]",9830316912.0,0.6602282126401882,0.9830069124423962,both,"{'Ecoli': 21, 'a': 21, 'aaa': 14, 'alice29': 21, 'alphabet': 14, 'asyoulik': 21, 'bib': 21, 'bible': 14, 'book1': 21, 'book2': 21, 'cp': 21, 'dickens': 21, 'fieldsc': 21, 'geo': 21, 'grammar': 14, 'kennedy': 21, 'lcet10': 14, 'mozilla': 14, 'mr': 14, 'nci': 14, 'news': 14, 'obj1': 14, 'obj2': 21, 'ooffice': 14, 'osdb': 14, 'paper1': 21, 'paper2': 14, 'paper3': 14, 'paper4': 21, 'paper5': 14, 'paper6': 21, 'pic': 14, 'plrabn12': 21, 'progc': 21, 'progl': 14, 'progp': 14, 'ptt5': 21, 'random': 21, 'reymont': 14, 'samba': 14, 'sao': 14, 'sum': 14, 'trans': 14, 'webster': 14, 'world192': 21, 'x-ray': 21, 'xargs': 21, 'xml': 14}"
xz,2,"['size', 'time']",3,"[14, 15, 21]",9830304215.0,0.6337767643570335,0.9830069124423962,both,"{'Ecoli': 21, 'a': 21, 'aaa': 14, 'alice29': 21, 'alphabet': 14, 'asyoulik': 21, 'bib': 21, 'bible': 14, 'book1': 15, 'book2': 21, 'cp': 21, 'dickens': 21, 'fieldsc': 21, 'geo': 21, 'grammar': 14, 'kennedy': 15, 'lcet10': 14, 'mozilla': 15, 'mr': 14, 'nci': 15, 'news': 14, 'obj1': 14, 'obj2': 21, 'ooffice': 14, 'osdb': 15, 'paper1': 21, 'paper2': 14, 'paper3': 14, 'paper4': 21, 'paper5': 14, 'paper6': 21, 'pic': 14, 'plrabn12': 21, 'progc': 21, 'progl': 14, 'progp': 14, 'ptt5': 21, 'random': 21, 'reymont': 15, 'samba': 14, 'sao': 15, 'sum': 14, 'trans': 14, 'webster': 15, 'world192': 21, 'x-ray': 21, 'xargs': 21, 'xml': 14}"
xz,2,"['size', 'time']",4,"[13, 14, 15, 21]",9830298352.0,0.6215627878573425,0.9830069124423962,both,"{'Ecoli': 21, 'a': 13, 'aaa': 14, 'alice29': 21, 'alphabet': 14, 'asyoulik': 21, 'bib': 21, 'bible': 14, 'book1': 15, 'book2': 21, 'cp': 21, 'dickens': 21, 'fieldsc': 21, 'geo': 21, 'grammar': 14, 'kennedy': 15, 'lcet10': 14, 'mozilla': 15, 'mr': 14, 'nci': 15, 'news': 14, 'obj1': 14, 'obj2': 21, 'ooffice': 14, 'osdb': 15, 'paper1': 21, 'paper2': 14, 'paper3': 14, 'paper4': 21, 'paper5': 14, 'paper6': 21, 'pic': 14, 'plrabn12': 21, 'progc': 21, 'progl': 14, 'progp': 14, 'ptt5': 21, 'random': 21, 'reymont': 15, 'samba': 14, 'sao': 15, 'sum': 14, 'trans': 14, 'webster': 15, 'world192': 21, 'x-ray': 21, 'xargs': 13, 'xml': 14}"
xz,2,"['size', 'time']",5,"[13, 14, 15, 17, 21]",9830293464.0,0.6113814388552332,0.9830069124423962,both,"{'Ecoli': 21, 'a': 13, 'aaa': 14, 'alice29': 21, 'alphabet': 14, 'asyoulik': 21, 'bib': 21, 'bible': 14, 'book1': 17, 'book2': 17, 'cp': 21, 'dickens': 21, 'fieldsc': 21, 'geo': 17, 'grammar': 14, 'kennedy': 17, 'lcet10': 14, 'mozilla': 15, 'mr': 14, 'nci': 15, 'news': 14, 'obj1': 14, 'obj2': 17, 'ooffice': 14, 'osdb': 15, 'paper1': 21, 'paper2': 17, 'paper3': 14, 'paper4': 21, 'paper5': 17, 'paper6': 17, 'pic': 14, 'plrabn12': 21, 'progc': 21, 'progl': 14, 'progp': 17, 'ptt5': 21, 'random': 17, 'reymont': 15, 'samba': 17, 'sao': 15, 'sum': 14, 'trans': 14, 'webster': 15, 'world192': 21, 'x-ray': 17, 'xargs': 17, 'xml': 17}"
xz,2,"['size', 'time']",6,"[11, 13, 14, 15, 17, 21]",9830289630.0,0.6034001211908392,0.9830069124423962,both,"{'Ecoli': 21, 'a': 13, 'aaa': 14, 'alice29': 11, 'alphabet': 14, 'asyoulik': 11, 'bib': 21, 'bible': 14, 'book1': 11, 'book2': 17, 'cp': 21, 'dickens': 11, 'fieldsc': 21, 'geo': 11, 'grammar': 14, 'kennedy': 17, 'lcet10': 14, 'mozilla': 15, 'mr': 14, 'nci': 15, 'news': 14, 'obj1': 14, 'obj2': 11, 'ooffice': 14, 'osdb': 15, 'paper1': 21, 'paper2': 17, 'paper3': 14, 'paper4': 21, 'paper5': 17, 'paper6': 11, 'pic': 14, 'plrabn12': 11, 'progc': 11, 'progl': 11, 'progp': 17, 'ptt5': 11, 'random': 11, 'reymont': 11, 'samba': 11, 'sao': 15, 'sum': 14, 'trans': 14, 'webster': 15, 'world192': 11, 'x-ray': 17, 'xargs': 17, 'xml': 17}"
xz,2,"['size', 'time']",7,"[11, 13, 14, 15, 17, 21, 25]",9830286903.0,0.597718303009021,0.9830069124423962,both,"{'Ecoli': 21, 'a': 13, 'aaa': 25, 'alice29': 11, 'alphabet': 14, 'asyoulik': 11, 'bib': 21, 'bible': 14, 'book1': 11, 'book2': 17, 'cp': 21, 'dickens': 11, 'fieldsc': 21, 'geo': 11, 'grammar': 14, 'kennedy': 17, 'lcet10': 14, 'mozilla': 15, 'mr': 14, 'nci': 15, 'news': 14, 'obj1': 14, 'obj2': 11, 'ooffice': 14, 'osdb': 15, 'paper1': 21, 'paper2': 17, 'paper3': 14, 'paper4': 21, 'paper5': 17, 'paper6': 11, 'pic': 14, 'plrabn12': 11, 'progc': 11, 'progl': 11, 'progp': 17, 'ptt5': 11, 'random': 11, 'reymont': 11, 'samba': 11, 'sao': 15, 'sum': 14, 'trans': 14, 'webster': 15, 'world192': 11, 'x-ray': 17, 'xargs': 17, 'xml': 17}"
