system,num_performances,performances,num_configs,selected_configs,fold,train_cost,train_wcp_mean,train_wcp_max,test_wcp_mean,test_wcp_max,optimization_target,input_to_config_map
xz,1,['size'],1,[24],1,2000002.0,4.7381291133572044e-06,0.00017057264808085937,0.0,0.0,both,"{'Ecoli': 24, 'a': 24, 'aaa': 24, 'asyoulik': 24, 'bib': 24, 'bible': 24, 'book2': 24, 'cp': 24, 'dickens': 24, 'geo': 24, 'grammar': 24, 'kennedy': 24, 'lcet10': 24, 'mozilla': 24, 'mr': 24, 'news': 24, 'obj1': 24, 'obj2': 24, 'ooffice': 24, 'paper4': 24, 'paper5': 24, 'paper6': 24, 'pic': 24, 'plrabn12': 24, 'progc': 24, 'progl': 24, 'progp': 24, 'ptt5': 24, 'reymont': 24, 'samba': 24, 'sum': 24, 'trans': 24, 'world192': 24, 'x-ray': 24, 'xargs': 24, 'xml': 24}"
xz,1,['size'],2,"[24, 29]",1,0.0,0.0,0.0,0.0,0.0,both,"{'Ecoli': 24, 'a': 24, 'aaa': 24, 'asyoulik': 24, 'bib': 24, 'bible': 24, 'book2': 24, 'cp': 24, 'dickens': 24, 'geo': 24, 'grammar': 24, 'kennedy': 24, 'lcet10': 24, 'mozilla': 24, 'mr': 29, 'news': 24, 'obj1': 24, 'obj2': 24, 'ooffice': 24, 'paper4': 24, 'paper5': 24, 'paper6': 24, 'pic': 24, 'plrabn12': 24, 'progc': 24, 'progl': 24, 'progp': 24, 'ptt5': 24, 'reymont': 24, 'samba': 24, 'sum': 24, 'trans': 24, 'world192': 24, 'x-ray': 24, 'xargs': 24, 'xml': 24}"
xz,1,['size'],3,"[0, 24, 29]",1,0.0,0.0,0.0,0.0,0.0,both,"{'Ecoli': 24, 'a': 24, 'aaa': 24, 'asyoulik': 24, 'bib': 24, 'bible': 24, 'book2': 24, 'cp': 24, 'dickens': 24, 'geo': 24, 'grammar': 24, 'kennedy': 24, 'lcet10': 24, 'mozilla': 24, 'mr': 29, 'news': 24, 'obj1': 24, 'obj2': 24, 'ooffice': 24, 'paper4': 24, 'paper5': 24, 'paper6': 24, 'pic': 24, 'plrabn12': 24, 'progc': 24, 'progl': 24, 'progp': 24, 'ptt5': 24, 'reymont': 24, 'samba': 24, 'sum': 24, 'trans': 24, 'world192': 24, 'x-ray': 24, 'xargs': 24, 'xml': 24}"
xz,1,['size'],1,[24],2,2000002.0,4.7381291133572044e-06,0.00017057264808085937,0.0,0.0,both,"{'Ecoli': 24, 'a': 24, 'aaa': 24, 'alice29': 24, 'alphabet': 24, 'asyoulik': 24, 'bible': 24, 'book1': 24, 'cp': 24, 'dickens': 24, 'fieldsc': 24, 'grammar': 24, 'mr': 24, 'nci': 24, 'news': 24, 'obj1': 24, 'obj2': 24, 'ooffice': 24, 'osdb': 24, 'paper1': 24, 'paper2': 24, 'paper3': 24, 'paper4': 24, 'paper6': 24, 'pic': 24, 'progl': 24, 'progp': 24, 'ptt5': 24, 'random': 24, 'reymont': 24, 'sao': 24, 'sum': 24, 'trans': 24, 'webster': 24, 'world192': 24, 'xml': 24}"
xz,1,['size'],2,"[24, 29]",2,0.0,0.0,0.0,0.0,0.0,both,"{'Ecoli': 24, 'a': 24, 'aaa': 24, 'alice29': 24, 'alphabet': 24, 'asyoulik': 24, 'bible': 24, 'book1': 24, 'cp': 24, 'dickens': 24, 'fieldsc': 24, 'grammar': 24, 'mr': 29, 'nci': 24, 'news': 24, 'obj1': 24, 'obj2': 24, 'ooffice': 24, 'osdb': 24, 'paper1': 24, 'paper2': 24, 'paper3': 24, 'paper4': 24, 'paper6': 24, 'pic': 24, 'progl': 24, 'progp': 24, 'ptt5': 24, 'random': 24, 'reymont': 24, 'sao': 24, 'sum': 24, 'trans': 24, 'webster': 24, 'world192': 24, 'xml': 24}"
xz,1,['size'],3,"[0, 24, 29]",2,0.0,0.0,0.0,0.0,0.0,both,"{'Ecoli': 24, 'a': 24, 'aaa': 24, 'alice29': 24, 'alphabet': 24, 'asyoulik': 24, 'bible': 24, 'book1': 24, 'cp': 24, 'dickens': 24, 'fieldsc': 24, 'grammar': 24, 'mr': 29, 'nci': 24, 'news': 24, 'obj1': 24, 'obj2': 24, 'ooffice': 24, 'osdb': 24, 'paper1': 24, 'paper2': 24, 'paper3': 24, 'paper4': 24, 'paper6': 24, 'pic': 24, 'progl': 24, 'progp': 24, 'ptt5': 24, 'random': 24, 'reymont': 24, 'sao': 24, 'sum': 24, 'trans': 24, 'webster': 24, 'world192': 24, 'xml': 24}"
xz,1,['size'],1,[24],3,2000002.0,4.7381291133572044e-06,0.00017057264808085937,0.0,0.0,both,"{'alice29': 24, 'alphabet': 24, 'bib': 24, 'bible': 24, 'book1': 24, 'book2': 24, 'cp': 24, 'fieldsc': 24, 'geo': 24, 'grammar': 24, 'kennedy': 24, 'lcet10': 24, 'mozilla': 24, 'mr': 24, 'nci': 24, 'news': 24, 'obj2': 24, 'ooffice': 24, 'osdb': 24, 'paper1': 24, 'paper2': 24, 'paper3': 24, 'paper4': 24, 'paper5': 24, 'plrabn12': 24, 'progc': 24, 'random': 24, 'reymont': 24, 'samba': 24, 'sao': 24, 'sum': 24, 'trans': 24, 'webster': 24, 'x-ray': 24, 'xargs': 24, 'xml': 24}"
xz,1,['size'],2,"[24, 29]",3,0.0,0.0,0.0,0.0,0.0,both,"{'alice29': 24, 'alphabet': 24, 'bib': 24, 'bible': 24, 'book1': 24, 'book2': 24, 'cp': 24, 'fieldsc': 24, 'geo': 24, 'grammar': 24, 'kennedy': 24, 'lcet10': 24, 'mozilla': 24, 'mr': 29, 'nci': 24, 'news': 24, 'obj2': 24, 'ooffice': 24, 'osdb': 24, 'paper1': 24, 'paper2': 24, 'paper3': 24, 'paper4': 24, 'paper5': 24, 'plrabn12': 24, 'progc': 24, 'random': 24, 'reymont': 24, 'samba': 24, 'sao': 24, 'sum': 24, 'trans': 24, 'webster': 24, 'x-ray': 24, 'xargs': 24, 'xml': 24}"
xz,1,['size'],3,"[0, 24, 29]",3,0.0,0.0,0.0,0.0,0.0,both,"{'alice29': 24, 'alphabet': 24, 'bib': 24, 'bible': 24, 'book1': 24, 'book2': 24, 'cp': 24, 'fieldsc': 24, 'geo': 24, 'grammar': 24, 'kennedy': 24, 'lcet10': 24, 'mozilla': 24, 'mr': 29, 'nci': 24, 'news': 24, 'obj2': 24, 'ooffice': 24, 'osdb': 24, 'paper1': 24, 'paper2': 24, 'paper3': 24, 'paper4': 24, 'paper5': 24, 'plrabn12': 24, 'progc': 24, 'random': 24, 'reymont': 24, 'samba': 24, 'sao': 24, 'sum': 24, 'trans': 24, 'webster': 24, 'x-ray': 24, 'xargs': 24, 'xml': 24}"
xz,1,['size'],1,[24],4,0.0,0.0,0.0,1.4214387340071614e-05,0.00017057264808085937,both,"{'Ecoli': 24, 'a': 24, 'aaa': 24, 'alice29': 24, 'alphabet': 24, 'asyoulik': 24, 'bib': 24, 'book1': 24, 'book2': 24, 'dickens': 24, 'fieldsc': 24, 'geo': 24, 'kennedy': 24, 'lcet10': 24, 'mozilla': 24, 'nci': 24, 'obj1': 24, 'osdb': 24, 'paper1': 24, 'paper2': 24, 'paper3': 24, 'paper5': 24, 'paper6': 24, 'pic': 24, 'plrabn12': 24, 'progc': 24, 'progl': 24, 'progp': 24, 'ptt5': 24, 'random': 24, 'samba': 24, 'sao': 24, 'webster': 24, 'world192': 24, 'x-ray': 24, 'xargs': 24}"
